"#","Invoice No.","Invoice Date","Currency","Total Invoice Amount","Bill To Customer Code","Bill To Customer Name","Bill To ID.","Finance Book","Status","Shipping Point"
1,"FIN01-JHRPKD-0039","2017-11-15","RM",37651.20,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Fresh","QMSHQ           "
2,"FIN02A-JHRPKD-0104","2017-11-15","RM",42752.91,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Fresh","QMSHQ           "
3,"FIN02A-JHRPKD-0109","2017-11-15","RM",42752.91,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Fresh","QMSHQ           "
4,"FIN02A-JHRPKD-0114","2017-11-15","RM",50844.24,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Fresh","QMSHQ           "
5,"FIN02-JHRPKD-0103","2017-11-15","RM",27646.53,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Fresh","QMSHQ           "
6,"FIN02-JHRPKD-0107","2017-11-15","RM",27646.53,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Fresh","QMSHQ           "
7,"FIN02-JHRPKD-0112","2017-11-15","RM",29583.14,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Fresh","QMSHQ           "
8,"FIN02A-JHRPKD-0093","2017-11-08","RM",75278.74,"JHR-K-JBH","PKD  Johor Bahru","1","QMSPFB","Fresh","QMSHQ           "
9,"FIN02-JHRPKD-0092","2017-11-08","RM",42944.76,"JHR-K-JBH","PKD  Johor Bahru","1","QMSPFB","Shipped","QMSHQ           "
10,"FIN01-JHRPKD-0038","2017-11-15","RM",64819.00,"JHR-K-JBH","PKD  Johor Bahru","1","QMSPFB","Fresh","QMSHQ           "
11,"FIN02A-JHRPKD-0108","2017-11-15","RM",75278.74,"JHR-K-JBH","PKD  Johor Bahru","1","QMSPFB","Fresh","QMSHQ           "
12,"FIN02A-JHRPKD-0113","2017-11-15","RM",95678.38,"JHR-K-JBH","PKD  Johor Bahru","1","QMSPFB","Fresh","QMSHQ           "
13,"FIN02-JHRPKD-0108","2017-11-15","RM",42944.76,"JHR-K-JBH","PKD  Johor Bahru","1","QMSPFB","Fresh","QMSHQ           "
14,"FIN02-JHRPKD-0121","2017-11-15","RM",50823.45,"JHR-K-JBH","PKD  Johor Bahru","1","QMSPFB","Fresh","QMSHQ           "
15,"FIN02-JHRPPD-0104","2017-11-15","RM",66154.29,"JHR-K-JBH","PKD  Johor Bahru","1","QMSPFB","Reversed","QMSHQ           "
16,"FIN02A-JHRPKD-0100","2017-11-09","RM",28657.71,"JHR-K-KLG","PKD  Kluang","1","QMSPFB","Fresh","QMSHQ           "
17,"FIN02A-JHRPKD-0101","2017-11-09","RM",28657.71,"JHR-K-KLG","PKD  Kluang","1","QMSPFB","Fresh","QMSHQ           "
18,"FIN02-JHRPKD-0099","2017-11-09","RM",24147.52,"JHR-K-KLG","PKD  Kluang","1","QMSPFB","Fresh","QMSHQ           "
19,"FIN02-JHRPKD-0100","2017-11-09","RM",24147.52,"JHR-K-KLG","PKD  Kluang","1","QMSPFB","Fresh","QMSHQ           "
20,"FIN01-JHRPKD-0043","2017-11-15","RM",46958.00,"JHR-K-KLG","PKD  Kluang","1","QMSPFB","Fresh","QMSHQ           "
21,"FIN02A-JHRPKD-0118","2017-11-15","RM",32563.19,"JHR-K-KLG","PKD  Kluang","1","QMSPFB","Fresh","QMSHQ           "
22,"FIN02-JHRPKD-0116","2017-11-15","RM",25553.59,"JHR-K-KLG","PKD  Kluang","1","QMSPFB","Fresh","QMSHQ           "
23,"FIN02A-JHRPKD-0094","2017-11-02","RM",16398.89,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Shipped","QMSHQ           "
24,"FIN02A-JHRPKD-0095","2017-11-09","RM",16398.89,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Shipped","QMSHQ           "
25,"FIN02A-PPD-0070","2017-11-09","RM",3204.66,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Shipped","QMSHQ           "
26,"FIN02-JHRPKD-0093","2017-11-09","RM",31409.63,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Shipped","QMSHQ           "
27,"FIN02-JHRPKD-0094","2017-11-09","RM",31409.63,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Shipped","QMSHQ           "
28,"FIN02-JHRPPD-0092","2017-11-09","RM",16525.82,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Fresh","QMSHQ           "
29,"FIN01-JHRPKD-0044","2017-11-15","RM",80459.30,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Fresh","QMSHQ           "
30,"FIN02A-JHRPKD-0119","2017-11-15","RM",20488.62,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Fresh","QMSHQ           "
31,"FIN02-JHRPKD-0117","2017-11-15","RM",31412.85,"JHR-K-KTG","PKD  Kota Tinggi","1","QMSPFB","Fresh","QMSHQ           "
32,"FIN02A-JHRPKD-0096","2017-11-09","RM",10388.70,"JHR-K-KUL","PKD  Kulai Jaya","1","QMSPFB","Shipped","QMSHQ           "
33,"FIN02A-JHRPKD-0097","2017-11-09","RM",10388.70,"JHR-K-KUL","PKD  Kulai Jaya","1","QMSPFB","Shipped","QMSHQ           "
34,"FIN02-JHRPKD-0095","2017-11-09","RM",9547.91,"JHR-K-KUL","PKD  Kulai Jaya","1","QMSPFB","Shipped","QMSHQ           "
35,"FIN02-JHRPKD-0096","2017-11-09","RM",9547.91,"JHR-K-KUL","PKD  Kulai Jaya","1","QMSPFB","Shipped","QMSHQ           "
