"#","Invoice No.","Invoice Date","Currency","Total Invoice Amount","Bill To Customer Code","Bill To Customer Name","Bill To ID.","Finance Book","Status","Shipping Point"
1,"FIN01JHRPKD-0001","2017-02-27","RM",32460.00,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
2,"FIN02AJHRPKD-0001","2017-02-27","RM",5730.31,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
3,"FIN02JHRPKD-0006","2017-03-06","RM",26944.16,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
4,"FIN02AJHRPKD-0013","2017-03-30","RM",5730.31,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
5,"FIN02JHRPKD-0018","2017-03-30","RM",27010.19,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
6,"FIN02AJHRPKD-0018","2017-04-20","RM",5730.31,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
7,"FIN02JHRPKD.0022","2017-04-20","RM",26944.19,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
8,"FIN02A-JHRPKD-0025","2017-05-31","RM",5847.56,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
9,"FIN02JHRPKD.0033","2017-05-31","RM",28560.84,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
10,"FIN02-JHRPKD-0044","2017-06-21","RM",28557.87,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
11,"FIN01-JHRPKD-0015","2017-08-14","RM",66910.00,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
12,"FIN02A-JHRPKD-0041","2017-08-14","RM",10460.56,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
13,"FIN02A-JHRPKD-0042","2017-08-14","RM",16307.99,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
14,"FIN02-JHRPKD-0058","2017-08-14","RM",27980.50,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
15,"FIN02-JHRPKD-0066","2017-08-29","RM",27914.55,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
16,"FIN01-JHRPKD-023","2017-09-28","RM",56261.62,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
17,"FIN02A-JHRPKD-0066","2017-09-28","RM",34625.79,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
18,"FIN02A-JHRPKD-0067","2017-09-28","RM",34625.79,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
19,"FIN02A-JHRPKD-0068","2017-09-28","RM",34625.79,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
20,"FIN02-JHRPKD-0078","2017-09-28","RM",27646.88,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
21,"FIN01-JHRPKD-0032","2017-10-23","RM",31005.00,"JHR-K-BPH","PKD  Batu Pahat","1","QMSPFB","Shipped","QMSHQ           "
