"#","Receipt No.","Customer Code","Customer Name","Receipt Route","Receipt Date","Currency","Receipt Amount","Receipt Category","Finance Book","Instrument No.","Status","Instrument Date","Receipt Mode","Bank / Cash Code","Description","Booking No","HBL HAWB NO","MBL MAWB NO"
1,"QMS-CR2250/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-09-07","RM",3304.32,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
2,"QMS-CR2251/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-09-07","RM",3304.32,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
3,"QMS-CR2252/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-09-07","RM",3304.32,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
4,"QMS-CR2253/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-09-07","RM",3502.57,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
5,"QMS-CR2524/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-10-04","RM",16307.99,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
6,"QMS-CR2542/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-10-04","RM",19441.81,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
7,"QMS-CR2088/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-08-08","RM",19660.00,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
8,"QMS-CR1356/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-04-19","RM",23710.89,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
9,"QMS-CR1357/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-04-19","RM",23710.89,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
10,"QMS-CR1451/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-05-04","RM",23710.89,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
11,"QMS-CR2906/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-10-25","RM",24517.04,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
12,"QMS-CR2282/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-09-14","RM",24754.41,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
13,"QMS-CR2260/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-09-07","RM",24812.90,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
14,"QMS-CR2027/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-07-13","RM",25130.93,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
15,"QMS-CR1860/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-06-21","RM",25133.54,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
16,"QMS-CR2896/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-10-25","RM",34625.79,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
17,"QMS-CR2897/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-10-25","RM",34625.79,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
18,"QMS-CR2898/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-10-25","RM",34625.79,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
19,"QMS-CR2888/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-10-25","RM",56261.62,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
20,"QMS-CR2677/17","JHR-K-BPH","PKD  Batu Pahat","Bank","2017-10-03","RM",66910.00,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
21,"QMS-CR2820/17","JHR-K-JBH","PKD  Johor Bahru","Bank","2017-10-12","RM",4663.41,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
22,"QMS-CR2821/17","JHR-K-JBH","PKD  Johor Bahru","Bank","2017-10-12","RM",4663.41,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
23,"QMS-CR2822/17","JHR-K-JBH","PKD  Johor Bahru","Bank","2017-10-12","RM",4663.41,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
24,"QMS-CR2924/17","JHR-K-JBH","PKD  Johor Bahru","Bank","2017-10-31","RM",6400.00,"Regular","QMSPFB","","Fully Adjusted","","Direct Debit","QMSRHBSEC14REV-CA","RHB BANK BERHAD - REVENUE","","",""
