BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
JHPSPL005,SPIROMETERS| LOW,JHR003,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL006,SPIROMETERS| LOW,JHR003,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL007,SPIROMETERS| LOW,JHR003,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL012,SPIROMETERS| LOW,JHR004,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL013,SPIROMETERS| LOW,JHR004,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL014,SPIROMETERS| LOW,JHR004,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL019,SPIROMETERS| LOW,JHR011,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL020,SPIROMETERS| LOW,JHR011,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL021,SPIROMETERS| LOW,JHR011,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL027,SPIROMETERS| LOW,JHR013,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL028,SPIROMETERS| LOW,JHR013,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL029,SPIROMETERS| LOW,JHR013,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL031,SPIROMETERS| LOW,JHR014,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL032,SPIROMETERS| LOW,JHR014,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL033,SPIROMETERS| LOW,JHR014,KESIHATAN,BATU PAHAT,JOHOR,DEA,ACT
JHPSPL039,SPIROMETERS| LOW,JHR018,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL040,SPIROMETERS| LOW,JHR018,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL041,SPIROMETERS| LOW,JHR018,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL047,SPIROMETERS| LOW,JHR020,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL048,SPIROMETERS| LOW,JHR020,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL049,SPIROMETERS| LOW,JHR020,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL057,SPIROMETERS| LOW,JHR021,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL058,SPIROMETERS| LOW,JHR021,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL059,SPIROMETERS| LOW,JHR021,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL066,SPIROMETERS| LOW,JHR022,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL067,SPIROMETERS| LOW,JHR022,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL068,SPIROMETERS| LOW,JHR022,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL075,SPIROMETERS| LOW,JHR023,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL076,SPIROMETERS| LOW,JHR023,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL077,SPIROMETERS| LOW,JHR023,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL084,SPIROMETERS| LOW,JHR024,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
JHPSPL085,SPIROMETERS| LOW,JHR024,KESIHATAN,JOHOR BAHRU,JOHOR,DEA,ACT
