BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status,Remarks
NSB009461,CENTRIFUGES| TABLETOP,NSB028,KESIHATAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB002011,X-RAY FILM PROCESSORS| AUTOMATIC,NSB014,KESIHATAN,KUALA PILAH,NEGERI SEMBILAN,DEA,BER,
NSB003758,DENTAL WORKSTATION,NSB153,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB004281,CHAIRS| EXAMINATION/TREATMENT| DENTISTRY,NSB158,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB004819,ELECTROCARDIOGRAPHS| MULTICHANNEL,NSB130,KESIHATAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB005447,STERILIZING UNITS| STEAM,NSB155,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB005959,LIGHTS| DENTAL| INTRAORAL,NSB282,PERGIGIAN,PORT DICKSON,NEGERI SEMBILAN,DEA,BER,
NSB005962,STERILIZING UNITS| STEAM,NSB282,PERGIGIAN,PORT DICKSON,NEGERI SEMBILAN,DEA,BER,
NSB006018,CHAIRS| EXAMINATION/TREATMENT| DENTISTRY,NSB169,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB006285,AMALGAMATORS,NSB154,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB006449,CENTRIFUGES| TABLETOP,NSB025,KESIHATAN,REMBAU,NEGERI SEMBILAN,DEA,BER,
NSB006508,FREEZERS| LABORATORY VACCINE,NSB025,KESIHATAN,REMBAU,NEGERI SEMBILAN,DEA,BER,
NSB007131,CHAIRS| EXAMINATION/TREATMENT| DENTISTRY,NSB162,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB007614,SCALES|PATIENT|PLATFORM|MECHANICAL,NSB102,KESIHATAN,PORT DICKSON,NEGERI SEMBILAN,DEA,BER,
NSB001478,RADIOGRAPHIC/FLUOROSCOPIC SYSTEMS| GENERAL-PURPOSE,NSB004,KESIHATAN,JELEBU,NEGERI SEMBILAN,DEA,BER,
NSB000783,LIGHTS| DENTAL,NSB250,PERGIGIAN,JEMPOL,NEGERI SEMBILAN,DEA,BER,
NSB008731,CENTRIFUGES| TABLETOP,NSB001,KESIHATAN,JELEBU,NEGERI SEMBILAN,DEA,BER,
NSB006185,STERILIZING UNITS| STEAM,NSB150,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB006170,STERILIZING UNITS| STEAM,NSB150,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB004095,STERILIZING UNITS| STEAM,NSB270,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB001473,LARYNGOSCOPES| RIGID,NSB004,KESIHATAN,JELEBU,NEGERI SEMBILAN,DEA,BER,
NSB000772,BATHS| PARAFFIN| DENTAL,NSB250,PERGIGIAN,JEMPOL,NEGERI SEMBILAN,DEA,BER,
NSB008087,LIGHT| EXAMINATION,NSB129,KESIHATAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB009136,SPHYGMOMANOMETERS| MERCURY,NSB001,KESIHATAN,JELEBU,NEGERI SEMBILAN,DEA,BER,
NSB008761,RADIOGRAPHIC UNITS| DENTAL,NSB243,PERGIGIAN,JELEBU,NEGERI SEMBILAN,DEA,BER,
NSB006255,STERILIZING UNITS| STEAM,NSB151,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB006261,RADIOGRAPHIC UNITS| DENTAL,NSB151,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB005640,X-RAY FILM PROCESSORS| AUTOMATIC,NSB036,KESIHATAN,SEREMBAN,NEGERI SEMBILAN,DEA,BER,
NSB020251,X-RAY FILM PROCESSORS| AUTOMATIC,NSB039,KESIHATAN,TAMPIN,NEGERI SEMBILAN,DEA,BER,
NSB006424,X-RAY FILM PROCESSORS| AUTOMATIC,NSB025,KESIHATAN,REMBAU,NEGERI SEMBILAN,DEA,BER,
