BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
SWK004699,Electrocardiographs| Multichannel,SWK169,KESIHATAN,SIBU,Sarawak,PBR,BER
SWK010265,Aspirators,SWK169,KESIHATAN,SIBU,Sarawak,PBR,BER
SWK004700,Electrocardiographs| Multichannel,SWK169,KESIHATAN,SIBU,Sarawak,PBR,BER
SWK004705,Electrocardiographs| Multichannel,SWK169,KESIHATAN,SIBU,Sarawak,PBR,BER
SWK004798,Scanning Systems| Ultrasonic|General Purpose,SWK175,KESIHATAN,SIBU,Sarawak,PBR,BER
SWK010564,Defibrillators| External| Manual,SWK178,KESIHATAN,SIBU,Sarawak,PBR,BER
SWK010597,Concentrators| Oxygen,SWK167,KESIHATAN,SIBU,Sarawak,PBR,BER
SWK000842,Ultrasonic Cleaning System,SWK251,PERGIGIAN,KUCHING,Sarawak,ACT,BER
SWK000129,MICROMOTOR,SWK250,PERGIGIAN,KUCHING,Sarawak,ACT,BER
SWK000867,Thermoforming Unit Dental,SWK250,PERGIGIAN,KUCHING,Sarawak,ACT,BER
SWK001116,Handpieces| Dental,SWK250,PERGIGIAN,KUCHING,Sarawak,ACT,BER
SWK000149,PRESSES| FLASK| DENTAL,SWK250,PERGIGIAN,KUCHING,Sarawak,ACT,BER
SWK000863,Vacuum Cleaners,SWK251,PERGIGIAN,KUCHING,Sarawak,ACT,BER
SWK000142,Handpieces| Dental,PRK570,PERGIGIAN,LARUT MATANG SELAMA,Sarawak,ACT,BER
SWK007152,ULTRASONIC CLEANING SYSTEM,PRK534,PERGIGIAN,LARUT MATANG SELAMA,Sarawak,ACT,BER
SWK000862,Micromotor,PRK525,PERGIGIAN,LARUT MATANG SELAMA,Sarawak,ACT,BER
PRK013080,Presses| Flask| Dental,PRK521,PERGIGIAN,LARUT MATANG SELAMA,Perak,ACT,BER
PRK004884,Water Boiler,PRK464,PERGIGIAN,PERAK TENGAH,Perak,ACT,BER
PRK013533,Dental Delivery Units,PRK391,PERGIGIAN,HULU PERAK,Perak,ACT,BER
PRK013521,Dental Delivery Units,PRK391,PERGIGIAN,HULU PERAK,Perak,ACT,BER
PRK012094,Sterilizing Units| Steam,PRK391,PERGIGIAN,HULU PERAK,Perak,PBR,BER
PRK012070,Amalgamators,PRK390,PERGIGIAN,HULU PERAK,Perak,ACT,BER
PRK012074,Scalers| Dental| Ultrasonic,PRK464,PERGIGIAN,PERAK TENGAH,Perak,ACT,BER
PRK012047,Sphygmomanometers| Electronic| Manual,PRK390,PERGIGIAN,HULU PERAK,Perak,ACT,BER
PRK006086,STERILIZING UNITS| PORTABLE,PRK390,PERGIGIAN,HULU PERAK,Perak,ACT,BER
PRK007423,Micromotor,PRK464,PERGIGIAN,PERAK TENGAH,Perak,ACT,BER
PRK006006,Ultrasonic Cleaning System,PRK522,PERGIGIAN,LARUT MATANG SELAMA,Perak,ACT,BER
PRK006095,Sterilizing Units| Portable,SWK250,PERGIGIAN,KUCHING,Perak,ACT,BER
PRK006332,Sterilizing Units| Portable,SWK427,PERGIGIAN,SAMARAHAN,Perak,ACT,BER
PRK011467,Radiographic Units| Dental,SWK250,PERGIGIAN,KUCHING,Perak,ACT,BER
JHR002491,Scales| Infant,JHR058,Kesihatan,Ledang,Johor,ACT,BER
JHR012370,SCALES| INFANT,JHR086,Kesihatan,Segamat,Johor,ACT,DEA
JHR012371,SCALES| INFANT,JHR086,Kesihatan,Segamat,Johor,ACT,DEA
JHR012372,SCALES| INFANT,JHR086,Kesihatan,Segamat,Johor,ACT,DEA
JHR012373,SCALES| INFANT,JHR086,Kesihatan,Segamat,Johor,ACT,DEA
JHR012375,SCALES| INFANT,JHR086,Kesihatan,Segamat,Johor,ACT,DEA
JHR012376,SCALES| INFANT,JHR086,Kesihatan,Segamat,Johor,ACT,DEA
JHR012377,SCALES| INFANT,JHR086,Kesihatan,Segamat,Johor,ACT,DEA
JHR012378,SCALES| INFANT,JHR086,Kesihatan,Segamat,Johor,ACT,DEA
