BE Number,Status,Date,PWO,
SBH010436,BER,2017-08-01,PWO293800,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH010436' ,'PWO293800' , 'BER' , 'SBH010436' , '2017-08-01','No'"
SBH010456,BER,2017-08-01,PWO262711,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH010456' ,'PWO262711' , 'BER' , 'SBH010456' , '2017-08-01','No'"
SBH010518,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH010518' ,'' , 'BER' , 'SBH010518' , '2017-08-01','No'"
SBH010615,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH010615' ,'' , 'BER' , 'SBH010615' , '2017-08-01','No'"
SBH010656,BER,2017-08-01,PWO259947,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH010656' ,'PWO259947' , 'BER' , 'SBH010656' , '2017-08-01','No'"
SBH010902,BER,2017-08-01,PWO294023,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH010902' ,'PWO294023' , 'BER' , 'SBH010902' , '2017-08-01','No'"
SBH012056,BER,2017-08-01,PWO263264,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH012056' ,'PWO263264' , 'BER' , 'SBH012056' , '2017-08-01','No'"
SBH012892,BER,2017-08-01,PWO293887,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH012892' ,'PWO293887' , 'BER' , 'SBH012892' , '2017-08-01','No'"
SBH012909,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH012909' ,'' , 'BER' , 'SBH012909' , '2017-08-01','No'"
SBH010613,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SBH010613' ,'' , 'BER' , 'SBH010613' , '2017-08-01','No'"
SWK004699,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK004699' ,'' , 'BER' , 'SWK004699' , '2017-08-01','No'"
SWK010265,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK010265' ,'' , 'BER' , 'SWK010265' , '2017-08-01','No'"
SWK004700,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK004700' ,'' , 'BER' , 'SWK004700' , '2017-08-01','No'"
SWK004705,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK004705' ,'' , 'BER' , 'SWK004705' , '2017-08-01','No'"
SWK004798,BER,2017-08-01,PWO295619,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK004798' ,'PWO295619' , 'BER' , 'SWK004798' , '2017-08-01','No'"
SWK010564,BER,2017-08-01,PWO295616,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK010564' ,'PWO295616' , 'BER' , 'SWK010564' , '2017-08-01','No'"
SWK010597,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK010597' ,'' , 'BER' , 'SWK010597' , '2017-08-01','No'"
SWK000842,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK000842' ,'' , 'BER' , 'SWK000842' , '2017-08-01','No'"
SWK000129,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK000129' ,'' , 'BER' , 'SWK000129' , '2017-08-01','No'"
SWK000867,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK000867' ,'' , 'BER' , 'SWK000867' , '2017-08-01','No'"
SWK001116,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK001116' ,'' , 'BER' , 'SWK001116' , '2017-08-01','No'"
SWK000149,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK000149' ,'' , 'BER' , 'SWK000149' , '2017-08-01','No'"
SWK000863,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK000863' ,'' , 'BER' , 'SWK000863' , '2017-08-01','No'"
SWK013595,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK013595' ,'' , 'BER' , 'SWK013595' , '2017-08-01','No'"
SWK000142,BER,2017-08-01,PWO271294,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK000142' ,'PWO271294' , 'BER' , 'SWK000142' , '2017-08-01','No'"
SWK007152,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK007152' ,'' , 'BER' , 'SWK007152' , '2017-08-01','No'"
SWK000862,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK000862' ,'' , 'BER' , 'SWK000862' , '2017-08-01','No'"
SWK006529,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK006529' ,'' , 'BER' , 'SWK006529' , '2017-08-01','No'"
SWK006530,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK006530' ,'' , 'BER' , 'SWK006530' , '2017-08-01','No'"
SWK006238,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK006238' ,'' , 'BER' , 'SWK006238' , '2017-08-01','No'"
SWK006249,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK006249' ,'' , 'BER' , 'SWK006249' , '2017-08-01','No'"
SWK013839,BER,2017-08-01,PWO272708,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'SWK013839' ,'PWO272708' , 'BER' , 'SWK013839' , '2017-08-01','No'"
PRK013080,BER,2017-08-01,PWO259383,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK013080' ,'PWO259383' , 'BER' , 'PRK013080' , '2017-08-01','No'"
PRK004884,BER,2017-08-01,,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK004884' ,'' , 'BER' , 'PRK004884' , '2017-08-01','No'"
PRK013533,BER,2017-08-01,PWO251872,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK013533' ,'PWO251872' , 'BER' , 'PRK013533' , '2017-08-01','No'"
PRK013521,BER,2017-08-01,PWO251746,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK013521' ,'PWO251746' , 'BER' , 'PRK013521' , '2017-08-01','No'"
PRK012094,BER,2017-08-01,PWO251853,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK012094' ,'PWO251853' , 'BER' , 'PRK012094' , '2017-08-01','No'"
PRK012070,BER,2017-08-01,PWO251651,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK012070' ,'PWO251651' , 'BER' , 'PRK012070' , '2017-08-01','No'"
PRK012074,BER,2017-08-01,PWO251786,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK012074' ,'PWO251786' , 'BER' , 'PRK012074' , '2017-08-01','No'"
PRK012047,BER,2017-08-01,PWO251284,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK012047' ,'PWO251284' , 'BER' , 'PRK012047' , '2017-08-01','No'"
PRK006086,BER,2017-08-01,PWO257569,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK006086' ,'PWO257569' , 'BER' , 'PRK006086' , '2017-08-01','No'"
PRK007423,BER,2017-08-01,PWO257540,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK007423' ,'PWO257540' , 'BER' , 'PRK007423' , '2017-08-01','No'"
PRK006006,BER,2017-08-01,PWO257824,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK006006' ,'PWO257824' , 'BER' , 'PRK006006' , '2017-08-01','No'"
PRK006095,BER,2017-08-01,PWO258417,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK006095' ,'PWO258417' , 'BER' , 'PRK006095' , '2017-08-01','No'"
PRK006332,BER,2017-08-01,PWO256251,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK006332' ,'PWO256251' , 'BER' , 'PRK006332' , '2017-08-01','No'"
PRK011467,BER,2017-08-01,PWO294175,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'PRK011467' ,'PWO294175' , 'BER' , 'PRK011467' , '2017-08-01','No'"
JHR002491,BER,2017-08-01,PWO278896,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR002491' ,'PWO278896' , 'BER' , 'JHR002491' , '2017-08-01','No'"
JHR012370,BER,2017-08-01,PWO281244,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012370' ,'PWO281244' , 'BER' , 'JHR012370' , '2017-08-01','No'"
JHR012371,BER,2017-08-01,PWO280452,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012371' ,'PWO280452' , 'BER' , 'JHR012371' , '2017-08-01','No'"
JHR012372,BER,2017-08-01,PWO281729,"insert into ppm_completion_table (asset_number , newPwonumber,oldpwonumber,state ,completiondate ,updated) select  'JHR012372' ,'PWO281729' , 'BER' , 'JHR012372' , '2017-08-01','No'"
