BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status
SBH001328,Analyzers| Laboratory| Hematology| Cell Counting| Automated ( Medium),SBH078,KESIHATAN,BEAUFORT,SABAH,PBR,BER
SBH005986,LIGHT| EXAMINATION,SBH078,KESIHATAN,BEAUFORT,SABAH,ACT,BER
SBH003964,FETAL HEART DETECTOR ULTRASONIC,SBH286,KESIHATAN,TUARAN,SABAH,PBR,BER
SBH005420,Bilirubinometers Non Invasive,SBH284,KESIHATAN,TUARAN,SABAH,PBR,BER
SBH005434,SPHYGMOMANOMETERS| MERCURY,SBH280,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000666,LIGHT| EXAMINATION,SBH070,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH005215,LIGHT| EXAMINATION,SBH070,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000459,SCALES| PATIENT| PLATFORM| MECHANICAL,SBH223,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000454,SCALES| INFANT,SBH223,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000452,SPHYGMOMANOMETERS| MERCURY,SBH223,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000339,SPHYGMOMANOMETERS| ANEROID,SBH098,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000335,SPHYGMOMANOMETERS| ANEROID,SBH098,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000334,SPHYGMOMANOMETERS| ANEROID,SBH098,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000330,SPHYGMOMANOMETERS| ANEROID,SBH098,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000338,SPHYGMOMANOMETERS| ANEROID,SBH098,KESIHATAN,TUARAN,SABAH,ACT,BER
SBH000332,SPHYGMOMANOMETERS| ANEROID,SBH098,KESIHATAN,TUARAN,SABAH,ACT,BER
PRK003683,Sphygmomanometers| Mercury,PRK247,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK015634,Sphygmomanometers| Aneroid,PRK236,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK015654,Sphygmomanometers| Aneroid,PRK236,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK024386,Sphygmomanometers| Aneroid,PRK244,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK004390,SCALES| PATIENT| PLATFORM| MECHANICAL,PRK230,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK002346,Aspirators,PRK046,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK002268,Aspirators,PRK046,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK002282,Electrocardiographs| Multichannel,PRK046,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK002278,Monitoring Systems| Physiologic,PRK046,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK002281,Sphygmomanometers| Electronic| Automatic,PRK046,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK003730,Sphygmomanometers| Aneroid,PRK243,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK003726,Sterilizing Units| Steam| Tabletop,PRK243,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK003678,Unit-Dose Dispensers| Pill,PRK048,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
PRK003472,Unit-Dose Dispensers| Pill,PRK047,KESIHATAN,KUALA KANGSAR,PERAK,ACT,BER
