BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status,Remarks
JHR003379,X-Ray Film Processors| Manual| Dental,JHR553,PERGIGIAN,LEDANG,JOHOR,DEA,DEA,Requested by BPKP on 17/02/2017
JHR009652,Syringe/Needle Destroyers,JHR500,PERGIGIAN,PONTIAN,JOHOR,DEA,DEA,Requested by BPKP on 17/02/2017
JHR011466,Syringe/Needle Destroyers,JHR365,PERGIGIAN,JOHOR BAHRU,JOHOR,ACT,DEA,Requested by BPKP on 17/02/2017
JHR000725,Syringe/Needle Destroyers,JHR438,PERGIGIAN,BATU PAHAT,JOHOR,DEA,DEA,Requested by BPKP on 17/02/2017
MLK004906,ANALYZERS| LABORATORY| BODY FLUIDS| GLUCOSE,MLK092,PERGIGIAN,MELAKA TENGAH,MELAKA,ACT,DEA,Requested by BPKP on 17/02/2017
MLK003293,Analyzers| Laboratory| Body Fluids| Glucose,MLK092,PERGIGIAN,MELAKA TENGAH,MELAKA,ACT,DEA,Requested by BPKP on 17/02/2017
MLK005216,X-Ray Film Processors| Manual| Dental,MLK156,PERGIGIAN,JASIN,MELAKA,DEA,DEA,Requested by BPKP on 17/02/2017
PRK020224,X-RAY FILM PROCESSORS| MANUAL| DENTAL,PRK347,PERGIGIAN,KAMPAR,PERAK,ACT,DEA,Requested by BPKP on 17/02/2017
PRK020223,X-RAY FILM PROCESSORS| MANUAL| DENTAL,PRK449,PERGIGIAN,HILIR PERAK,PERAK,ACT,DEA,Requested by BPKP on 17/02/2017
PRK001390,X-Ray Film Processors| Manual| Dental,PRK353,PERGIGIAN,KINTA,PERAK,DEA,DEA,Requested by BPKP on 17/02/2017
PRK002619,X-Ray Film Processors| Manual| Dental,PRK375,PERGIGIAN,KINTA,PERAK,DEA,DEA,Requested by BPKP on 17/02/2017
PRK001595,X-Ray Film Processors| Manual| Dental,PRK346,PERGIGIAN,KINTA,PERAK,DEA,DEA,Requested by BPKP on 17/02/2017
PRK004923,X-Ray Film Processors| Manual| Dental,PRK490,PERGIGIAN,MANJUNG,PERAK,DEA,DEA,Requested by BPKP on 17/02/2017
PRK001989,X-Ray Film Processors| Manual| Dental,PRK342,PERGIGIAN,KINTA,PERAK,DEA,DEA,Requested by BPKP on 17/02/2017
PRK002405,X-Ray Film Processors| Manual| Dental,PRK345,PERGIGIAN,KINTA,PERAK,DEA,DEA,Requested by BPKP on 17/02/2017
PRK010166,X-Ray Film Processors| Manual| Dental,PRK451,PERGIGIAN,HILIR PERAK,PERAK,DEA,DEA,Requested by BPKP on 17/02/2017
PRK010224,X-Ray Film Processors| Manual| Dental,PRK446,PERGIGIAN,HILIR PERAK,PERAK,ACT,DEA,Requested by BPKP on 17/02/2017
