BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
SBH012636,Ophthalmoscopes,SBH012,Kesihatan,Beluran,Sabah,PBR,ACT
SBH010381,Analyzers| Laboratory| Urine| Semiautomated (High),SBH014,Kesihatan,Beluran,Sabah,PBR,ACT
SBH008265,Sphygmomanometers| Aneroid,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010028,Light| Examination,SBH132,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010009,Sterilizing Units| Steam| Tabletop,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010022,Sterilizing Units| Steam| Tabletop,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010013,Sterilizing Units| Steam| Tabletop,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010040,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH006886,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010044,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010042,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010045,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH006744,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010017,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010041,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH006749,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH006889,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010016,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010030,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH006743,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH006765,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010015,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH010043,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,PBR,ACT
SBH006752,Sphygmomanometers| Mercury,SBH091,Kesihatan,Kinabatangan,Sabah,ACT,TST
