benumber,becategory,cliniccode,clinictype,District,Statecode,currentstatus,Newstatus,Reasonforchange
WKL004026,Dental Delivery Units,WKL100,,Titiwangsa,,ACT,DEA,Form B15 Received on 9/11/2016
WKL002464,Sterilizing Units| Steam,WKL100,,Titiwangsa,,ACT,DEA,Form B15 Received on 9/11/2016
WKL001923,Chairs| Examination/Treatment| Dentistry,WKL075,,Titiwangsa,,ACT,DEA,Form B15 Received on 15/11/2016
SLR001656,Refrigerators| Laboratory,SLR031,,Kuala Langat,,ACT,DEA,No Maintenance
SLR001682,Sphygmomanometers| Mercury,SLR031,,Kuala Langat,,ACT,DEA,No Maintenance
SLR001598,Sphygmomanometers| Aneroid,SLR118,,Kuala Langat,,ACT,DEA,No Maintenance
SLR006853,Fetal Heart Detectors| Ultrasonic,SLR118,,Kuala Langat,,ACT,DEA,No Maintenance
SLR006855,Light| Examination,SLR118,,Kuala Langat,,ACT,DEA,No Maintenance
SLR007107,Analyzers| Laboratory| Hematology| Coagulation| Automated,SLR035,,Kuala Langat,,ACT,DEA,B12 attached
SLR001793,Sphygmomanometers| Aneroid,SLR036,,Kuala Langat,,ACT,DEA,B12 attached
SLR001794,Sphygmomanometers| Aneroid,SLR036,,Kuala Langat,,ACT,DEA,B12 attached
SLR001795,Sphygmomanometers| Aneroid,SLR036,,Kuala Langat,,ACT,DEA,B12 attached
SLR001796,Sphygmomanometers| Aneroid,SLR036,,Kuala Langat,,ACT,DEA,B12 attached
SLR001797,Sphygmomanometers| Aneroid,SLR036,,Kuala Langat,,ACT,DEA,B12 attached
SLR001798,Sphygmomanometers| Aneroid,SLR036,,Kuala Langat,,ACT,DEA,B12 attached
SLR006917,Sphygmomanometers| Aneroid,SLR036,,Kuala Langat,,ACT,DEA,B12 attached
SLR006919,Sphygmomanometers| Aneroid,SLR036,,Kuala Langat,,ACT,DEA,B12 attached
SLR012430,Sphygmomanometers| Aneroid,SLR036,,Kuala Langat,,ACT,DEA,B12 attached
SLR004356,View Boxes| X-Ray,SLR013,,Hulu Langat,,ACT,DEA,B15 attached
SLR012091,Freezers| Laboratory Vaccine,SLR013,,Hulu Langat,,ACT,DEA,B15 attached
SLR000395,Sphygmomanometers| Aneroid,SLR074,,Hulu Langat,,ACT,DEA,B12 attached
SLR000400,Sphygmomanometers| Aneroid,SLR074,,Hulu Langat,,ACT,DEA,B12 attached
SLR000398,Sphygmomanometers| Aneroid,SLR074,,Hulu Langat,,ACT,DEA,B12 attached
SLR000394,Sphygmomanometers| Aneroid,SLR074,,Hulu Langat,,ACT,DEA,B12 attached
SLR001421,Sphygmomanometers| Mercury,SLR074,,Hulu Langat,,ACT,DEA,B12 attached
SLR001162,Sphygmomanometers| Aneroid,SLR188,,Hulu Langat,,ACT,DEA,B12 attached
SLR001155,Sphygmomanometers| Aneroid,SLR188,,Hulu Langat,,ACT,DEA,B12 attached
SLR001157,Sphygmomanometers| Aneroid,SLR188,,Hulu Langat,,ACT,DEA,B12 attached
SLR001154,Sphygmomanometers| Aneroid,SLR188,,Hulu Langat,,ACT,DEA,B12 attached
SLR001156,Sphygmomanometers| Aneroid,SLR188,,Hulu Langat,,ACT,DEA,B12 attached
SLR001140,Sphygmomanometers| Mercury,SLR188,,Hulu Langat,,ACT,DEA,B12 attached
SLR008423,Fetal Heart Detectors| Ultrasonic,SLR074,,Hulu Langat,,ACT,DEA,B12 attached
SLR001141,Scales|Patient|Platform|Mechanical,SLR188,,Hulu Langat,,ACT,DEA,Letter attached
SLR000346,Scales| Clinical| Laboratory,SLR010,,Hulu Langat,,ACT,DEA,Letter attached
SLR006244,Aspirators,SLR141,,Kuala Selangor,,ACT,DEA,No Maintenance
