BE Number,BE Code,BE General Name,BE Group,BE Conditional Status,BE Critical Factor,Cost Center,State,Circle,District,Clinic Category,Manufacturer,Model,Serial Number,BE Status,Clinic Code,Purchase Cost
PRK020229,14-413,Washer/Sterilizing Units,PS,ACT,A,PRK065,Perak,NC3,Manjung,Kesihatan,NA,NA,NA,Functioning,PRK065,20000
PRK024045,16-156,Sphygmomanometers| Aneroid,BA,ACT,E,PRK064,Perak,NC3,Manjung,Kesihatan,NA,NA,NA,Functioning,PRK064,330
PRK025166,ME-022P,Scales| Clinical| Pharmacy,PS,ACT,B,PRK064,Perak,NC3,Manjung,Kesihatan,NA,NA,NA,Functioning,PRK064,3427
PRK023088,10-212,Aspirators| Dental,PS,ACT,C,PRK346,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK346,1800
PRK023092,10-212,Aspirators| Dental,PS,ACT,C,PRK346,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK346,1800
PRK023094,DE-013,Hp Maintenance System,PS,ACT,F,PRK346,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK346,6240
PRK023039,10-082,Amalgamators,PS,ACT,C,PRK339,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK339,2000
PRK023032,11-161,Handpieces| Dental,PS,ACT,A,PRK339,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK339,1890
PRK023033,11-161,Handpieces| Dental,PS,ACT,A,PRK339,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK339,1890
PRK023036,DE-031,Sterilizing Units| Portable,PS,ACT,A,PRK339,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK339,9000
PRK023106,DE-031,Sterilizing Units| Portable,PS,ACT,A,PRK353,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK353,9000
PRK023107,DE-031,Sterilizing Units| Portable,PS,ACT,A,PRK353,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK353,9000
PRK023108,DE-031,Sterilizing Units| Portable,PS,ACT,A,PRK353,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK354,9000
PRK023109,DE-031,Sterilizing Units| Portable,PS,ACT,A,PRK353,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK353,9000
PRK023110,DE-031,Sterilizing Units| Portable,PS,ACT,A,PRK353,Perak,NC1,Kinta,Pergigian,NA,NA,NA,Functioning,PRK353,9000
PRK024966,17-156,Refrigerators| Pharmacy ,PS,ACT,B,PRK014,Perak,NC2,Hulu Perak,Kesihatan,NA,NA,NA,Functioning,PRK014,3600
PRK024918,13-217,Infusion Pumps| Syringe,PS,ACT,A,PRK015,Perak,NC2,Hulu Perak,Kesihatan,NA,NA,NA,Functioning,PRK015,5800
PRK024948,17-157,Refrigerators| Laboratory,PS,ACT,B,PRK015,Perak,NC2,Hulu Perak,Kesihatan,NA,NA,NA,Functioning,PRK015,3000
PRK024119,11-623,Exercisers,PS,ACT,D,PRK061,Perak,NC3,Manjung,Kesihatan,NA,NA,NA,Functioning,PRK061,5000
PRK024060,13-367,Resuscitators| Pulmonary| Manual,CR,ACT,E,PRK064,Perak,NC3,Manjung,Kesihatan,NA,NA,NA,Functioning,PRK064,1040
