BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
JHR014978,Printers| Video,JHR010,KESIHATAN, Batu Pahat ,Johor,ACT,DEA
JHR014976,Printers| Video,JHR012,KESIHATAN, Batu Pahat ,Johor,ACT,DEA
JHR014984,Printers| Video,JHR014,KESIHATAN, Batu Pahat ,Johor,ACT,DEA
JHR014974,Printers| Video,JHR008,KESIHATAN, Batu Pahat ,Johor,ACT,DEA
JHR014975,Printers| Video,JHR006,KESIHATAN, Batu Pahat ,Johor,ACT,DEA
JHR010334,Printers| Video,JHR013,KESIHATAN, Batu Pahat ,Johor,ACT,DEA
JHR011002,Printers| Video,JHR020,KESIHATAN, Johor Bahru ,Johor,ACT,DEA
JHR011217,Printers| Video,JHR039,KESIHATAN, Kota Tinggi ,Johor,ACT,DEA
JHR008422,Printers| Video,JHR040,KESIHATAN, Kota Tinggi ,Johor,ACT,DEA
JHR020601,PRINTERS| VIDEO,JHR049,KESIHATAN, Mersing ,Johor,ACT,DEA
JHR014985,Printers| Video,JHR052,KESIHATAN, Mersing ,Johor,ACT,DEA
JHR014004,Printers| Video,JHR073,KESIHATAN, Pontian ,Johor,ACT,DEA
JHR008162,Printers| Video,JHR074,KESIHATAN, Pontian ,Johor,ACT,DEA
JHR014982,PRINTERS| VIDEO,JHR084,KESIHATAN, Segamat ,Johor,ACT,DEA
