BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
JHNDIF005,Dispensers| Fluid,JHR026,KESIHATAN,JOHOR BAHRU,JOHOR,ACT,DEA
JHNDIF002,Dispensers| Fluid,JHR040,KESIHATAN,KOTA TINGGI,JOHOR,ACT,DEA
JHNDIF001,Dispensers| Fluid,JHR068,KESIHATAN,MUAR,JOHOR,ACT,DEA
JHNDIF003,Dispensers| Fluid,JHR004,KESIHATAN,BATU PAHAT,JOHOR,ACT,DEA
JHNDIF004,Dispensers| Fluid,JHR075,KESIHATAN,PONTIAN,JOHOR,ACT,DEA
MLNDIF002,Dispensers| Fluid,MLK006,KESIHATAN,ALOR GAJAH,MELAKA,ACT,DEA
MLNDIF001,Dispensers| Fluid,MLK019,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,DEA
MLNDIF003,Dispensers| Fluid,MLK016,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,DEA
MLNDIF004,Dispensers| Fluid,MLK002,KESIHATAN,ALOR GAJAH,MELAKA,ACT,DEA
MLNDIF005,Dispensers| Fluid,MLK026,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,DEA
NSNDIF003,Dispensers| Fluid,NSB041,KESIHATAN,TAMPIN,NEGERI SEMBILAN,ACT,DEA
NSNDIF001,Dispensers| Fluid,NSB039,KESIHATAN,TAMPIN,NEGERI SEMBILAN,ACT,DEA
NSNDIF005,Dispensers| Fluid,NSB011,KESIHATAN,JEMPOL,NEGERI SEMBILAN,ACT,DEA
NSNDIF006,Dispensers| Fluid,NSB037,KESIHATAN,TAMPIN,NEGERI SEMBILAN,ACT,DEA
NSNDIF004,Dispensers| Fluid,NSB025,KESIHATAN,REMBAU,NEGERI SEMBILAN,ACT,DEA
NSNDIF007,Dispensers| Fluid,NSB022,KESIHATAN,PORT DICKSON,NEGERI SEMBILAN,ACT,DEA
NSNDIF002,Dispensers| Fluid,NSB014,KESIHATAN,KUALA PILAH,NEGERI SEMBILAN,ACT,DEA
PNNDIF001,Dispensers| Fluid,PNG015,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,ACT,DEA
PNNDIF003,Dispensers| Fluid,PNG025,KESIHATAN,TIMUR LAUT,PULAU PINANG,ACT,DEA
PNNDIF004,Dispensers| Fluid,PNG022,KESIHATAN,TIMUR LAUT,PULAU PINANG,ACT,DEA
PNNDIF002,Dispensers| Fluid,PNG010,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,ACT,DEA
PNNDIF006,Dispensers| Fluid,PNG023,KESIHATAN,TIMUR LAUT,PULAU PINANG,ACT,DEA
PNNDIF005,Dispensers| Fluid,PNG003,KESIHATAN,BARAT DAYA,PULAU PINANG,ACT,DEA
PNNDIF008,Dispensers| Fluid,PNG013,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,ACT,DEA
PNNDIF007,Dispensers| Fluid,PNG017,KESIHATAN,SEBERANG PERAI UTARA,PULAU PINANG,ACT,DEA
SLNDIF001,Dispensers| Fluid,SLR001,KESIHATAN,GOMBAK,SELANGOR,ACT,DEA
SLNDIF002,Dispensers| Fluid,SLR021,KESIHATAN,HULU SELANGOR,SELANGOR,ACT,DEA
SLNDIF003,Dispensers| Fluid,SLR009,KESIHATAN,HULU LANGAT,SELANGOR,ACT,DEA
WKNDIF001,Dispensers| Fluid,WKL006,KESIHATAN,KEPONG,WILAYAH PERSEKUTUAN,ACT,DEA
