BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
SLR012035,Sphygmomanometers| Electronic| Automatic,SLR393,KESIHATAN,PETALING,Selangor,ACT,PBR
SLR002008,Radiographic/Fluoroscopic Systems| General-Purpose,SLR393,KESIHATAN,PETALING,Selangor,ACT,PBR
SLR004060,Unit-Dose Dispensers| Pill,SLR046,KESIHATAN,PETALING,Selangor,ACT,PBR
SLR004058,Sphygmomanometers| Electronic| Automatic,SLR046,KESIHATAN,PETALING,Selangor,ACT,PBR
SLR009773,Radiographic/Fluoroscopic Systems| General-Purpose,SLR043,KESIHATAN,PETALING,Selangor,ACT,PBR
SLR004052,Analyzers| Laboratory| Hematology| Cell Counting| Automated ( Medium),SLR046,KESIHATAN,PETALING,Selangor,ACT,PBR
SLR011857,Oximeters| Pulse,SLR384,KESIHATAN,HULU SELANGOR,Selangor,ACT,PBR
SLR004029,Ophthalmoscopes,SLR046,KESIHATAN,PETALING,Selangor,ACT,PBR
SLR004183,Radiographic/Fluoroscopic Systems| General-Purpose,SLR045,KESIHATAN,PETALING,Selangor,ACT,PBR
SLR004003,Aspirators,SLR046,KESIHATAN,PETALING,Selangor,ACT,PBR
SLR000544,Radiographic Units| Dental,SLR308,PERGIGIAN,HULU LANGAT,Selangor,ACT,PBR
SLR000885,Radiographic Units| Dental,SLR305,PERGIGIAN,HULU LANGAT,Selangor,ACT,PBR
SLR004793,Chairs| Examination/Treatment| Dentistry,SLR234,PERGIGIAN,KLANG,Selangor,ACT,PBR
WKL020031,Endodontic Handpieces With Apex Locator,WKL034,PERGIGIAN,KEPONG,WILAYAH PERSEKUTUAN,ACT,PBR
WKL020033,Endodontic Handpieces With Apex Locator,WKL034,PERGIGIAN,KEPONG,WILAYAH PERSEKUTUAN,ACT,PBR
WKL020003,Scales|Patient|Platform|Electronic,WKL006,KESIHATAN,KEPONG,WILAYAH PERSEKUTUAN,ACT,PBR
WKL003108,Sterilizing Units| Steam,WKL034,PERGIGIAN,KEPONG,WILAYAH PERSEKUTUAN,ACT,PBR
WKL001909-1-3,Handpiece |Dental,WKL075,PERGIGIAN,TITIWANGSA,WILAYAH PERSEKUTUAN,ACT,PBR
WKL024060,Hood |Isolation| Laminar| Airflow,WKL007,KESIHATAN,TITIWANGSA,WILAYAH PERSEKUTUAN,ACT,PBR
WKL024129,Fetal Heart Detectors| Ultrasonic,WKL019,KESIHATAN,LEMBAH PANTAI,WILAYAH PERSEKUTUAN,ACT,PBR
WKL000193,Scanner Model| 3D,WKL104,PERGIGIAN,LEMBAH PANTAI,WILAYAH PERSEKUTUAN,ACT,PBR
