BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status
PNG005563,Fetal Heart Detectors| Ultrasonic,PNG009,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,ACT,BER
PNG005208,Scales| Patient| Platform| Mechanical,PNG063,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,ACT,BER
PNG005177,Sphygmomanometers| Mercury,PNG064,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,ACT,BER
PNG005131,Scales| Infant,PNG064,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,ACT,BER
PNG005404,Sphygmomanometers| Aneroid,PNG066,KESIHATAN,SEBERANG PERAI TENGAH,PULAU PINANG,ACT,BER
SBH011624,Ophthalmoscopes,SBH084,KESIHATAN,TENOM,SABAH,PBR ,BER
SBH009179,SPHYGMOMANOMETER MERCURY ,SBH082,KESIHATAN,KENINGAU ,SABAH,DEA,BER
SBH009164,STERILIZING UNTIS| STEAM TABLETOP ,SBH082,KESIHATAN,KENINGAU ,SABAH,PBR,BER
SBH008190,MICROSCOPES| LIGHT LABORATORY ,SBH019,KESIHATAN,KENINGAU ,SABAH,PBR,BER
SBH008167,ANALYZER| LABORATORY| BLOOD HEMOGLOBIN ,SBH019,KESIHATAN,KENINGAU ,SABAH,PBR,BER
SBH009843,STERILIZING UNTIS| STEAM TABLETOP ,SBH131,KESIHATAN,KENINGAU ,SABAH,PBR,BER
SBH013925,SPHYGMOMANOMETER MERCURY ,SBH020,KESIHATAN,NABAWAN,SABAH,DEA,BER
SBH013498,SPHYGMOMANOMETER MERCURY ,SBH019,KESIHATAN,NABAWAN,SABAH,DEA,BER
SBH011881,STERILIZING UNTIS| STEAM TABLETOP ,SBH022,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH013812,SPHYGMOMANOMETER MERCURY ,SBH022,KESIHATAN,NABAWAN,SABAH,DEA,BER
SBH004175,SPHYGMOMANOMETER ELECTRONIC MANUAL,SBH024,KESIHATAN,TAMBUNAN,SABAH,PBR,BER
SBH004171,ASPIRATORS,SBH024,KESIHATAN,TAMBUNAN,SABAH,PBR,BER
SBH004149,SCALES PATIENTS| PLATFORM| ELECTRONIC,SBH024,KESIHATAN,TAMBUNAN,SABAH,PBR,BER
SBH004131,SCALES PATIENTS| PLATFORM| ELECTRONIC,SBH024,KESIHATAN,TAMBUNAN,SABAH,PBR,BER
SBH013916,SPHYGMOMANOMETER MERCURY ,SBH020,KESIHATAN,NABAWAN,SABAH,DEA,BER
SBH013905,SPHYGMOMANOMETER MERCURY ,SBH020,KESIHATAN,NABAWAN,SABAH,DEA,BER
SBH007898,PIPETTERS ,SBH020,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH007896,PIPETTERS ,SBH020,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH009380,PIPETTERS ,SBH020,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH012714,PIPETTERS ,SBH020,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH006398,PIPETTERS ,SBH020,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH007895,PIPETTERS ,SBH020,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH007897,PIPETTERS ,SBH020,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH013648,SCALES PATIENTS| PLATFORM| ELECTRONIC,SBH023,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH013646,SPHYGMOMANOMETER MERCURY ,SBH023,KESIHATAN,NABAWAN,SABAH,DEA,BER
SBH013642,SPHYGMOMANOMETER MERCURY ,SBH023,KESIHATAN,NABAWAN,SABAH,DEA,BER
SBH013644,SPHYGMOMANOMETER MERCURY ,SBH023,KESIHATAN,NABAWAN,SABAH,DEA,BER
SBH017424,SCALES INFANT ,SBH023,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH017423,SCALES INFANT ,SBH023,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH017425,SCALES INFANT ,SBH023,KESIHATAN,NABAWAN,SABAH,PBR,BER
SBH006433,SPHYGMOMANOMETER MERCURY ,SBH265,KESIHATAN,TENOM,SABAH,DEA,BER
SBH001633,FREEZERS| LABORATORY| VACCINE ,SBH088,KESIHATAN,KOTA MARUDU,SABAH,ACT,BER
SBH001605,PIPETTERS ,SBH088,KESIHATAN,KOTA MARUDU,SABAH,ACT,BER
SBH001601,MIXERS,SBH088,KESIHATAN,KOTA MARUDU,SABAH,ACT,BER
SBH001619,SCALES| PATIENT| PLATFORM| MECHANICAL,SBH088,KESIHATAN,KOTA MARUDU,SABAH,ACT,BER
SBH002500,SPHYGMOMANOMETERS| ELECTRONIC| AUTOMATIC,SBH157,KESIHATAN,KOTA MARUDU,SABAH,PBR,BER
SBH001007,REFRIGERATORS| PHARMACY ,SBH153,KESIHATAN,KOTA MARUDU,SABAH,ACT,BER
SBH012654,REFRIGERATORS| PHARMACY ,SBH041,KESIHATAN,PITAS,SABAH,ACT,BER
SBH012652,ANALYZER BODY FAT,SBH041,KESIHATAN,PITAS,SABAH,ACT,BER
SBH000869,OTOSCOPES,SBH038,KESIHATAN,KUDAT,SABAH,PBR,BER
SBH007234,LARYNGOSCOPES| RIGID,SBH166,KESIHATAN,KUDAT,SABAH,PBR,BER
SBH007042,FREEZERS| LABORATORY| VACCINE ,SBH089,KESIHATAN,KUDAT,SABAH,ACT,BER
PNG004865,Water Purification System,PNG162,PERGIGIAN,SEBERANG PERAI SELATAN,PULAU PINANG,ACT,BER
PNG000159,Scales| Patient| Platform| Mechanical,PNG094,KESIHATAN,TIMURLAUT,PULAU PINANG,ACT,BER
PNG001147,Defibrillators| External| Manual,PNG019,KESIHATAN,TIMURLAUT,PULAU PINANG,ACT,BER
PNG001228,Scales| Patient| Platform| Mechanical,PNG031,KESIHATAN,TIMURLAUT,PULAU PINANG,ACT,BER
PNG001622,Scales| Patient| Platform| Mechanical,PNG024,KESIHATAN,TIMURLAUT,PULAU PINANG,ACT,BER
PNG009471,Freezers| Laboratory| Vaccine,PNG022,KESIHATAN,TIMURLAUT,PULAU PINANG,ACT,BER
PNG024531,SPHYGMOMANOMETERS| ANEROID,PNG031,KESIHATAN,TIMURLAUT,PULAU PINANG,ACT,BER
PNG009600,Sterilizing Units| Steam,PNG248,PERGIGIAN,TIMURLAUT,PULAU PINANG,PBR,BER
JHR012043,Chairs| Examination/Treatment| Dentistry,JHR408,PERGIGIAN,MUAR,JOHOR,ACT,BER
JHR011250,Scales| Patient| Platform| Mechanical,JHR074,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR009332,Fetal Heart Detectors| Ultrasonic,JHR283,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR005569,Light| Examination,JHR294,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR009273,Scales,JHR074,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR009973,Light| Examination,JHR280,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR009969,Sphygmomanometers| Mercury,JHR280,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR024876,FETAL HEART DETECTORS| ULTRASONIC,JHR274,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR009485,Sphygmomanometers| Mercury,JHR076,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR008792,Scales| Infant,JHR296,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR009530,Scales| Patient| Platform| Mechanical,JHR077,KESIHATAN,PONTIAN,JOHOR,ACT,BER
JHR009402,Light| Examination,JHR041,KESIHATAN,KOTA TINGGI,JOHOR,ACT,BER
JHR009019,Scales| Infant,JHR202,KESIHATAN,KOTA TINGGI,JOHOR,ACT,BER
JHR009014,Fetal Heart Detectors| Ultrasonic,JHR202,KESIHATAN,KOTA TINGGI,JOHOR,ACT,BER
JHR024725,CAMERAS| IDENTIFICATION,JHR019,PERGIGIAN,JOHOR BAHRU,JOHOR,ACT,DEA
JHR012445,Amalgamators,JHR413,PERGIGIAN,MUAR,JOHOR,ACT,BER
SWK000166,Fetal Heart Detectors| Ultrasonic,SWK203,KESIHATAN,KUCHING ,SARAWAK ,ACT,BER
SWK000174,Sphygmomanometers| Mercury,SWK203,KESIHATAN,KUCHING ,SARAWAK ,ACT,BER
SWK000176,Sphygmomanometers| Mercury,SWK203,KESIHATAN,KUCHING ,SARAWAK ,ACT,BER
SWK000179,Fetal Heart Detectors| Ultrasonic,SWK203,KESIHATAN,KUCHING ,SARAWAK ,ACT,BER
SWK001989,Scales| Patient| Platform| Electronic,SWK506,KESIHATAN,BINTULU ,SARAWAK ,ACT,BER
SWK003540,Sphygmomanometers| Mercury,SWK147,KESIHATAN,SAMARAHAN,SARAWAK ,ACT,BER
SWK007556,Scales| Patient| Platform| Mechanical,SWK147,KESIHATAN,SAMARAHAN ,SARAWAK ,ACT,BER 
SWK016012,Oximeters| Pulse,SWK524,KESIHATAN,KUCHING ,SARAWAK ,ACT,BER
SWK023320,SCALERS| DENTAL| ULTRASONIC,SWK347,PERGIGIAN ,SIBU,SARAWAK ,ACT,BER
MLK002254,Ophthalmoscopes,MLK019,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK002689,Sterilizing Units| Steam| Tabletop,MLK019,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK000542,Sterilizing Units| Steam| Tabletop,MLK022,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK003614,Sterilizing Units| Steam| Tabletop,MLK025,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK000597,Defibrillators| External| Manual,MLK018,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK004851,Defibrillators| External| Manual,MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK004815,Defibrillators| External| Manual,MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK004823,Analyzers| Laboratory| Clinical Chemistry| Automated (Medium),MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK004807,Scales| Patient| Platform| Electronic,MLK024,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK024057,ANALYZERS| LABORATORY| HEMATOLOGY| CELL COUNTING| AUTOMATED ( MEDIUM),MLK020,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK002741,Scanning Systems| Ultrasonic| General Purpose,MLK020,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK000064,Freezers| Laboratory| Vaccine,MLK080,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK001624,Scales| Patient| Platform| Mechanical,MLK026,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK003810,Defibrillators| External| Manual,MLK026,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK002819,Light| Examination,MLK082,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK002817,Freezers| Laboratory| Vaccine,MLK082,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK002955,Ophthalmoscopes,MLK019,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
MLK002952,Ophthalmoscopes,MLK019,KESIHATAN,MELAKA TENGAH,MELAKA,ACT,BER
SBH013155,Sterilizing Units| Portable,SBH379,PERGIGIAN,TAWAU,SABAH,ACT,BER
SBH013163,Sterilizing Units| Portable,SBH379,PERGIGIAN,TAWAU,SABAH,ACT,BER
PRK015776,Opthalmoscopes,PRK060,KESIHATAN,LARUT MATANG SELAMA,PERAK,ACT,DEA
PRK024233,Freezers| Laboratory| Vaccine,PRK050,KESIHATAN,LARUT MATANG SELAMA,PERAK,ACT,DEA
PRK025224,SPHYGMOMANOMETERS| ELECTRONIC| AUTOMATIC,PRK052,KESIHATAN,LARUT MATANG SELAMA,PERAK,ACT,BER
PRK007184,Ovens Drying ,PRK052,KESIHATAN,LARUT MATANG SELAMA,PERAK,ACT,BER
PRK001880,Centrifuges Tabletop,PRK052,KESIHATAN,LARUT MATANG SELAMA,PERAK,ACT,BER
