BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status
PNG000683,Chairs| Examination/Treatment| Dentistry,PNG184,PERGIGIAN,TIMUR LAUT,PULAU PINANG,ACT,BER
PNG009696,Sterilizing Units| Steam,PNG184,PERGIGIAN,TIMUR LAUT,PULAU PINANG,ACT,BER
PNG009706,Chairs| Examination/Treatment| Dentistry,PNG185,PERGIGIAN,TIMUR LAUT,PULAU PINANG,ACT,BER
PNG009600,Sterilizing Units| Steam,PNG248,PERGIGIAN,TIMUR LAUT,PULAU PINANG,ACT,PBR
SWK004792,Refrigerators| Pharmacy ,SWK169,KESIHATAN,SIBU,SARAWAK,ACT,DEA
PRK024262,Scales| Patient| Platform| Mechanical,PRK052,KESIHATAN,LARUT MATANG SELAMA,PERAK,ACT,DEA
PRK024263,Scales| Patient| Platform| Mechanical,PRK052,KESIHATAN,LARUT MATANG SELAMA,PERAK,ACT,DEA
PRK024210,Scanning Systems| Ultrasonic| General Purpose,PRK056,KESIHATAN,LARUT MATANG SELAMA,PERAK,ACT,DEA
SBH004087,Scales| Patient| Platform| Mechanical,SBH197,KESIHATAN,PAPAR,SABAH,ACT,DEA
PRK014348,Audiometers,PRK061,KESIHATAN,MANJUNG,PERAK,ACT,DEA
PRK024119,EXERCISERS,PRK061,KESIHATAN,MANJUNG,PERAK,ACT,DEA
SLR009749,Sphygmomanometers| Mercury,SLR043,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR009829,Sphygmomanometers| Mercury,SLR043,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR003765,Sphygmomanometers| Mercury,SLR044,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR003785,Sphygmomanometers| Mercury,SLR044,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR003740,Sphygmomanometers| Mercury,SLR044,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR003764,Sphygmomanometers| Mercury,SLR044,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004181,Sphygmomanometers| Mercury,SLR045,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004138,Sphygmomanometers| Mercury,SLR045,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004153,Sphygmomanometers| Mercury,SLR045,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004167,Sphygmomanometers| Mercury,SLR045,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004144,Sphygmomanometers| Mercury,SLR045,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR003846,Sphygmomanometers| Mercury,SLR045,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR003888,Sphygmomanometers| Mercury,SLR045,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004137,Sphygmomanometers| Mercury,SLR045,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004160,Sphygmomanometers| Mercury,SLR045,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004066,Sphygmomanometers| Mercury,SLR046,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004026,Sphygmomanometers| Mercury,SLR046,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004036,Sphygmomanometers| Mercury,SLR046,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004067,Sphygmomanometers| Mercury,SLR046,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004014,Sphygmomanometers| Mercury,SLR046,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR004027,Sphygmomanometers| Mercury,SLR046,KESIHATAN,PETALING,SELANGOR,ACT,BER
SLR003809,Sphygmomanometers| Mercury,SLR047,KESIHATAN,PETALING,SELANGOR,ACT,BER
