BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status
SBH012899,Freezer| Laboratory ,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010453,Refrigerators| Laboratory,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012855,Refrigerators| Pharmacy,SBH048,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012865,Refrigerators| Pharmacy,SBH048,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH008458,Refrigerators| Pharmacy,SBH178,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012984,Refrigerators| Pharmacy,SBH177,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH006732,Refrigerators| Pharmacy,SBH179,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010909,Refrigerators| Laboratory,SBH049,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010587,Refrigerators| Pharmacy,SBH049,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010590,Refrigerators| Pharmacy,SBH049,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH008460,Refrigerators| Pharmacy,SBH188,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH008462,Refrigerators| Pharmacy,SBH188,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH008459,Scales| Infant,SBH188,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH008466,Scales| Infant,SBH188,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH017339,Analyzers Laboratory| Blood| Hemoglobin,SBH187,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH017867,Monitoring Systems| Phyilogic,SBH187,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH006406,Freezer| Laboratory Vaccine,SBH186,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010517,Scales| Infant,SBH186,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010027,Aspirators,SBH183,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012948,sphygmomanometers| Aneroid,SBH183,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH006775,Analyzers Laboratory| Blood| Hemoglobin,SBH181,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010533,Analyzers Laboratory| Blood| Hemoglobin,SBH182,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012445,Refrigerators,SBH180,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010439,Fetal Heart Detector| Ultrasonic,SBH046,KESIHATAN,LAHAD DATU,SABAH,PBR,DEA
SBH010438,Fetal Heart Detector| Ultrasonic,SBH046,KESIHATAN,LAHAD DATU,SABAH,PBR,DEA
SBH001719,Analyzer Body Fat,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012897,Light| Examination,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH017016,Nebulizer| Nonheated,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012886,Ophthalmoscopes,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012882,Ophthalmoscopes,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH006176,Scales| Infant,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH002454,Scales| Infant,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010064,Scales| Patient| Platform| Mechanical,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010442,Scales| Patient| Platform| Mechanical,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010063,Scales| Patient| Platform| Mechanical,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH006887,Scanning systems| Ultrasonic| General Purpose,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH011740,Scanning systems| Ultrasonic| General Purpose,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012911,Sphygmomanometers| Mercury,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH002464,Scales| Infant,SBH046,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH013015,Refrigerators| Pharmacy,SBH184,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010519,Scales| Infant,SBH186,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010558,Scales| Patient| Platform| Mechanical,SBH176,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010526,Scales| Patient| Platform| Electronic,SBH186,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH013018,Aspirators,SBH184,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012986,Aspirators,SBH177,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH012990,Aspirators,SBH177,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
SBH010530,Aspirators,SBH186,KESIHATAN,LAHAD DATU,SABAH,ACT,DEA
