BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status,Remarks
PRK004964,Micromotor,PRK446,Pergigian,Hilir Perak,Perak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
PRK010815,Aspirators| Dental,PRK447,Pergigian,Hilir Perak,Perak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
PRK010184,Fume Extractor,PRK448,Pergigian,Hilir Perak,Perak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
PRK010877,HP Maintenance System,PRK449,Pergigian,Hilir Perak,Perak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
PRK010810,Lights| Dental| Intraoral,PRK450,Pergigian,Hilir Perak,Perak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
PRK010811,Lights| Dental| Intraoral,PRK451,Pergigian,Hilir Perak,Perak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
PRK002071,Ultrasonic Cleaning System,PRK356,Pergigian,Hilir Perak,Perak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK023174,Handpieces| Dental,SWK336,Pergigian,Sibu,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK023175,Handpieces| Dental,SWK336,Pergigian,Sibu,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK000510,Amalgamators,SWK345,Pergigian,Sibu,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK004837,Handpieces| Dental,SWK377,Pergigian,Miri,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK006424,Sterilizing Units| Steam,SWK377,Pergigian,Miri,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK012140,Lights| Dental,SWK491,Pergigian,Mukah,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK012892,Scalers| Dental| Ultrasonic,SWK491,Pergigian,Mukah,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK012893,Scalers| Dental| Ultrasonic,SWK491,Pergigian,Mukah,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK004025,Sterilizing Units| Steam,SWK492,Pergigian,Mukah,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
SWK012802,Sterilizing Units| Steam,SWK493,Pergigian,Mukah,Sarawak,ACT,DEA,Disokong dikeluarkan dari FIN08. Asset not exised
PRK005655,Micromotor,PRK449,Pergigian,Hilir Perak,Perak,BER,DEA,Disokong untuk dikeluarkan. Aksesori
PRK010128,Compressor| Medical-Air,PRK446,Pergigian,Hilir Perak,Perak,BER,DEA,Disokong untuk dikeluarkan. Aksesori
PRK020284,Lights| Dental Intraoral,PRK449,Pergigian,Hilir Perak,Perak,BER,DEA,Disokong untuk dikeluarkan. Aksesori
PRK001600,Water Purification System,PRK449,Pergigian,Hilir Perak,Perak,BER,DEA,PRK001600 disokong untuk dikeluarkan dari FIN08. Tiada maklumat manufacturer| model & serial no. (Asset not found). Merupakan peralatan yang sama dengan PRK010187
PRK004964,Micromotor,PRK446,Pergigian,Hilir Perak,Perak,ACT,DEA,
PRK005881,Scalers| Dental| Ultrasonic,PRK449,Pergigian,Hilir Perak,Perak,BER,DEA,PRK005881 disokong untuk dikeluarkan dari FIN08. Tiada maklumat manufacturer| mode| & serial no. (asset not found).
PRK010115,Lights| Dental Intraoral,PRK449,Pergigian,Hilir Perak,Perak,BER,DEA,PRK010115 disokong untuk dikeluarkan dari FIN08. tiada maklumat manufacturer| modell & serial no. (asset not found). Merupakan peralatan yang sama dengan PRK010103
PRK010830,Scalers| Dental| Ultrasonic,PRK451,Pergigian,Hilir Perak,Perak,BER,DEA,PRK010830 disokong untuk dikeluarkan dari FIN08 kerana mempunyai manufacturer| model & serial no yang sama dengan PRK010112
PRK010853,Sterilizing Units| Portable,PRK446,Pergigian,Hilir Perak,Perak,BER,DEA,PRK010853 disokong untuk dikeluarkan dari FIN08 kerana mempunyai manufacturer| model & serial no yang sama dengan PRK010917
PRK010857,Aspirators| Dental,PRK446,Pergigian,Hilir Perak,Perak,BER,DEA,PRK010857 disokong untuk dikeluarkan dari FIN08 kerana mempunyai manufacturer| model & serial no yang sama dengan PRK010098
PRK010911,Lights| Dental| Intraoral,PRK449,Pergigian,Hilir Perak,Perak,BER,DEA,PRK010911 disokong untuk dikeluarkan darii FIN08 kerana mempunyai manufacturer| model & serial no yang sama dengan PRK010103
