BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status,Remarks
JHR002058,Sphygmomanometers| Mercury,JHR112,Kesihatan,Batu Pahat,Johor,ACT,BER,agreed by SM
JHR015160,Sphygmomanometers| Aneroid,JHR011,Kesihatan,Batu Pahat,Johor,ACT,BER,agreed by SM
JHR013469,Scanning Systems| Ultrasonic|General Purpose,JHR088,Kesihatan,Segamat,Johor,ACT,BER,agreed by SM
JHR013460,Analyzers| Laboratory| Blood| Hemoglobin,JHR087,Kesihatan,Segamat,Johor,ACT,BER,agreed by SM
JHR012093,Analyzers| Laboratory| Hematology| Cell Counting| Automated ( Medium),JHR087,Kesihatan,Segamat,Johor,ACT,BER,agreed by SM
JHR000235,Handpieces| Dental,JHR423,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000338,Handpieces| Dental,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR023154,Compressors| Medical-Air,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR015679,Compressors| Medical-Air,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR001301,Chairs| Examination/Treatment| Dentistry,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000342,Handpieces| Dental,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000341,Handpieces| Dental,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000339,Handpieces| Dental,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000318,Handpieces| Dental,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000317,Handpieces| Dental,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000316,Handpieces| Dental,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000314,Handpieces| Dental,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000312,Handpieces| Dental,JHR424,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR021362,Compressors| Medical-Air,JHR426,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR021352,Compressors| Medical-Air,JHR426,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR000628,Compressors| Medical-Air,JHR426,Pergigian,Batu Pahat,Johor,ACT,DEA,WRONG CATEGORY
JHR003704,Scales|Patient|Platform|Mechanical,JHR235,Kesihatan,Muar,Johor,ACT,BER,agreed by SM
