BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
sbh012056,Sphygmomanometers| Mercury,SBH047,KESIHATAN,LAHAD DATU,SABAH,PBR,BER
sbh010436,Scanning Systems| Ultrasonic|General Purpose,SBH046,KESIHATAN,LAHAD DATU,SABAH,PBR,BER
sbh020178,ANALYZERS| LABORATORY| CLINICAL CHEMISTRY| AUTOMATED (MEDIUM),SBH060,KESIHATAN,TONGOD,SABAH,ACT,TST
sbh007752,Compressors| Medical-Air,SBH383,PERGIGIAN,TAWAU,SABAH,ACT,TST
sbh007834,Compressors| Medical-Air,SBH383,PERGIGIAN,TAWAU,SABAH,ACT,TST
sbh016906,Chairs| Examination/Treatment| Dentistry,SBH383,PERGIGIAN,TAWAU,SABAH,PBR,TST
sbh007761,Handpieces| Dental,SBH383,PERGIGIAN,TAWAU,SABAH,ACT,TST
sbh016960,Compressors| Medical-Air,SBH387,PERGIGIAN,TAWAU,SABAH,ACT,TST
sbh011799,Micromotor,SBH380,PERGIGIAN,TAWAU,SABAH,PBR,TST
sbh007763,Handpieces| Dental,SBH383,PERGIGIAN,TAWAU,SABAH,ACT,TST
sbh011200,Compressors| Medical-Air,SBH379,PERGIGIAN,TAWAU,SABAH,ACT,TST
sbh016650,Compressors| Medical-Air,SBH383,PERGIGIAN,TAWAU,SABAH,ACT,TST
sbh007639,Scales|Patient|Platform|Mechanical,SBH530,KESIHATAN,TAWAU,SABAH,PBR,TST
sbh017693,Radiographic/Fluoroscopic Systems| General-Purpose,SBH061,KESIHATAN,SEMPORNA,SABAH,PBR,TST
sbh002429,ANALYZERS| LABORATORY| URINE| SEMIAUTOMATED ( MEDIUM),SBH096,KESIHATAN,TAWAU,SABAH,ACT,TST
sbh007928,Analyzers| Laboratory| Blood| Hemoglobin,SBH057,KESIHATAN,SANDAKAN,SABAH,PBR,TST
sbh020046,ANALYZERS| LABORATORY| GLYCATED HEMOGLOBIN,SBH061,KESIHATAN,SEMPORNA,SABAH,ACT,TST
sbh007060,Analyzers| Laboratory| Body Fluids| Glucose,SBH063,KESIHATAN,TAWAU,SABAH,PBR,BER
sbh017852,Analyzers| Laboratory| Urine| Semiautomated ( Medium),SBH061,KESIHATAN,SEMPORNA,SABAH,PBR,TST
sbh011808,Handpieces| Dental,SBH380,PERGIGIAN,TAWAU,SABAH,ACT,TST
sbh016843,Sterilizing Units| Steam,SBH383,PERGIGIAN,TAWAU,SABAH,ACT,TST
sbh012255,Analyzers| Laboratory| Body Fluids| Glucose,SBH065,KESIHATAN,TAWAU,SABAH,ACT,TST
