BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
JHR000162,Refrigerators| Laboratory,JHR001,Kesihatan,Batu Pahat,Johor,ACT,BER
JHR000473,Freezers| Laboratory Vaccine,JHR003,Kesihatan,Batu Pahat,Johor,ACT,BER
JHR001519,Light| Examination,JHR126,Kesihatan,Batu Pahat,Johor,ACT,BER
JHR001529,Light| Examination,JHR134,Kesihatan,Batu Pahat,Johor,ACT,BER
JHR001679,Sphygmomanometers| Mercury,JHR121,Kesihatan,Batu Pahat,Johor,ACT,BER
JHR004073,Refrigerators| Laboratory,JHR035,Kesihatan,Kluang,Johor,ACT,BER
JHR004119,Sterilizing Units| Steam| Tabletop,JHR182,Kesihatan,Kluang,Johor,ACT,BER
JHR005580,Dental Delivery Units,JHR504,Pergigian,Pontian,Johor,ACT,BER
JHR005583,Lights| Dental| Intraoral,JHR504,Pergigian,Pontian,Johor,ACT,BER
JHR005930,Water Purification Systems,JHR504,Pergigian,Pontian,Johor,ACT,BER
JHR005947,Bunsen Burner Electric,JHR504,Pergigian,Pontian,Johor,ACT,BER
JHR009044,Water Boiler,JHR518,Pergigian,Kota Tinggi,Johor,ACT,BER
JHR009225,Lights| Dental| Intraoral,JHR502,Pergigian,Pontian,Johor,ACT,BER
JHR009232,Water Purification Systems,JHR502,Pergigian,Pontian,Johor,ACT,BER
JHR009317,Amalgamators,JHR503,Pergigian,Pontian,Johor,ACT,BER
JHR009324,Lights| Dental| Intraoral,JHR503,Pergigian,Pontian,Johor,ACT,BER
JHR009547,Lights| Dental| Intraoral,JHR508,Pergigian,Pontian,Johor,ACT,BER
JHR009574,Water Purification Systems,JHR508,Pergigian,Pontian,Johor,ACT,BER
JHR009577,Water Purification Systems,JHR508,Pergigian,Pontian,Johor,ACT,BER
JHR009578,Lights| Dental| Intraoral,JHR508,Pergigian,Pontian,Johor,ACT,BER
JHR011118,Compressors| Medical-Air,JHR364,Pergigian,Johor Bahru,Johor,ACT,DEA
JHR011184,Lights| Dental| Intraoral,JHR361,Pergigian,Johor Bahru,Johor,ACT,DEA
JHR011938,Sterilizing Units| Portable,JHR367,Pergigian,Johor Bahru,Johor,ACT,BER
JHR012408,Presses| Flask| Dental,JHR399,Pergigian,Muar,Johor,ACT,BER
JHR012413,Acrylic Curing Units| Dental,JHR399,Pergigian,Muar,Johor,ACT,BER
JHR013832,Aspirators| Dental,JHR401,Pergigian,Muar,Johor,ACT,BER
JHR014563,Sterilizing Units| Steam| Tabletop,JHR589,Kesihatan,Kluang,Johor,ACT,BER
JHR015894,Compressors| Medical-Air,JHR359,Pergigian,Johor Bahru,Johor,ACT,BER
JHR016017,Apex Locator,JHR401,Pergigian,Muar,Johor,ACT,BER
JHR016310,Hp Maintenance System,JHR500,Pergigian,Pontian,Johor,ACT,BER
JHR020637,Scales| Infant,JHR090,Kesihatan,Kluang,Johor,ACT,BER
JHR020655,Freezers| Laboratory Vaccine,JHR187,Kesihatan,Kluang,Johor,ACT,BER
JHR021198,Bilirubinometers Lab,JHR031,Kesihatan,Kluang,Johor,ACT,BER
JHR021237,Lights| Dental,JHR504,Pergigian,Pontian,Johor,ACT,BER
JHR023009,Refrigerators,JHR501,Pergigian,Pontian,Johor,ACT,BER
JHR023020,Lights| Dental,JHR504,Pergigian,Pontian,Johor,ACT,BER
JHR024100,Sphygmomanometers| Mercury,JHR038,Kesihatan,Kota Tinggi,Johor,ACT,BER
JHR025237,Freezers| Laboratory Vaccine,JHR090,Kesihatan,Kluang,Johor,ACT,BER
JHR025540,Bunsen Burner Electric,JHR502,Pergigian,Pontian,Johor,ACT,BER
MLK000693,Scales| Infant,MLK025,Kesihatan,Melaka Tengah,Melaka,ACT,DEA
MLK000717,Scanning Systems| Ultrasonic|General Purpose,MLK026,Kesihatan,Melaka Tengah,Melaka,ACT,BER
MLK001622,Scales| Infant,MLK025,Kesihatan,Melaka Tengah,Melaka,ACT,DEA
MLK002224,Analyzers| Laboratory| Blood| Hemoglobin,MLK081,Kesihatan,Melaka Tengah,Melaka,ACT,BER
MLK004540,Chairs| Examination/Treatment| Dentistry,MLK155,Pergigian,Jasin,Melaka,ACT,DEA
