BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status,Remarks
SLR000021,Scales|Patient|Platform|Mechanical,SLR184,KESIHATAN,SEPANG,SELANGOR,PBR,ACT,
SLR010901,Sphygmomanometers| Mercury,SLR189,KESIHATAN,HULU SELANGOR,SELANGOR,PBR,ACT,
SLR004345,LIGHTS| DENTAL| INTRAORAL,SLR250,PERGIGIAN,PETALING,SELANGOR,PBR,ACT,
SLR006694,Sterilizing Units| Steam| Tabletop,SLR189,KESIHATAN,HULU SELANGOR,SELANGOR,PBR,ACT,
SLR001827,Scales,SLR062,KESIHATAN,HULU LANGAT,SELANGOR,PBR,ACT,
SLR000033,Scales|Patient|Platform|Mechanical,SLR184,KESIHATAN,SEPANG,SELANGOR,PBR,ACT,
SLR002524,Trimmers| Model| Dental,SLR279,PERGIGIAN,GOMBAK,SELANGOR,PBR,ACT,
SLR000792,Aspirators,SLR012,KESIHATAN,HULU LANGAT,SELANGOR,PBR,ACT,
SLR006655,Chairs| Examination/Treatment| Dentistry,SLR307,PERGIGIAN,HULU LANGAT,SELANGOR,PBR,ACT,
SLR004496,Chairs| Examination/Treatment| Dentistry,SLR263,PERGIGIAN,PETALING,SELANGOR,PBR,ACT,
SLR004532,Scalers| Dental| Ultrasonic,SLR250,PERGIGIAN,PETALING,SELANGOR,PBR,ACT,
SLR001226,Dental Delivery Units,SLR329,PERGIGIAN,SEPANG,SELANGOR,PBR,ACT,
SLR002527,Fume Extractor,SLR279,PERGIGIAN,GOMBAK,SELANGOR,PBR,ACT,
SLR010222,Analyzers| Laboratory| Hematology| Cell Counting| Automated ( Medium),SLR017,KESIHATAN,HULU SELANGOR,SELANGOR,PBR,ACT,
SLR006966,Amalgamators,SLR337,PERGIGIAN,KUALA LANGAT,SELANGOR,PBR,ACT,
SLR000245,Analyzers| Laboratory| Clinical Chemistry| Automated (Medium),SLR055,KESIHATAN,SEPANG,SELANGOR,PBR,ACT,
SLR002899,Water Purification Systems,SLR280,PERGIGIAN,GOMBAK,SELANGOR,PBR,ACT,
SLR003169,Aspirators| Dental,SLR279,PERGIGIAN,GOMBAK,SELANGOR,PBR,ACT,
SLR004344,Mixers,SLR250,PERGIGIAN,PETALING,SELANGOR,PBR,ACT,
SLR001829,Sphygmomanometers| Aneroid,SLR062,KESIHATAN,HULU LANGAT,SELANGOR,PBR,ACT,
SLR003074,Refrigerators| Laboratory,SLR019,KESIHATAN,HULU SELANGOR,SELANGOR,PBR,ACT,
SLR002908,Lights| Dental| Intraoral,SLR280,PERGIGIAN,GOMBAK,SELANGOR,PBR,ACT,
SLR004371,Presses| Flask| Dental,SLR250,PERGIGIAN,PETALING,SELANGOR,PBR,ACT,
SLR008224,Fetal Heart Detectors| Ultrasonic,SLR052,KESIHATAN,SABAK BERNAM,SELANGOR,PBR,ACT,
SLR011253,Sphygmomanometers| Electronic| Automatic,SLR382,KESIHATAN,GOMBAK,SELANGOR,PBR,ACT,
