BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status,Remarks
JHR014583,ScalesPatientPlatformMechanical,JHR048,KESIHATAN,KOTA TINGGI,JOHOR,PBR,ACT,
NSB007508,ScalesPatientPlatformMechanical,NSB103,KESIHATAN,PORT DICKSON,NEGERI SEMBILAN,PBR,ACT,
NSB002624,ScalesPatientPlatformMechanical,NSB039,KESIHATAN,TAMPIN,NEGERI SEMBILAN,PBR,ACT,
NSB003745,Scales Infant,NSB058,KESIHATAN,JEMPOL,NEGERI SEMBILAN,PBR,ACT,
NSB006208,Presses Flask Dental,NSB151,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,PBR,ACT,
NSB000214,Lights Dental Intraoral,NSB204,PERGIGIAN,TAMPIN,NEGERI SEMBILAN,PBR,ACT,
NSB005241,Sphygmomanometers Aneroid,NSB027,KESIHATAN,SEREMBAN,NEGERI SEMBILAN,PBR,ACT,
NSB000166,Freezers Laboratory Vaccine,NSB003,KESIHATAN,JELEBU,NEGERI SEMBILAN,PBR,ACT,
NSB004173,Amalgamators,NSB152,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,PBR,ACT,
NSB002837,Refrigerators Laboratory,NSB049,KESIHATAN,JELEBU,NEGERI SEMBILAN,PBR,ACT,
NSB001322,Freezers Laboratory Vaccine,NSB040,KESIHATAN,TAMPIN,NEGERI SEMBILAN,PBR,ACT,
NSB024377,OXIMETERS PULSE,NSB016,KESIHATAN,KUALA PILAH,NEGERI SEMBILAN,PBR,ACT,
NSB000373,Aspirators,NSB039,KESIHATAN,TAMPIN,NEGERI SEMBILAN,PBR,ACT,
NSB002374,Sphygmomanometers Aneroid,NSB070,KESIHATAN,JEMPOL,NEGERI SEMBILAN,PBR,ACT,
NSB005219,Ophthalmoscopes,NSB027,KESIHATAN,SEREMBAN,NEGERI SEMBILAN,PBR,ACT,
NSB003397,Dental Delivery Units,NSB243,PERGIGIAN,JELEBU,NEGERI SEMBILAN,PBR,ACT,
NSB003652,Oximeters Pulse,NSB006,KESIHATAN,JEMPOL,NEGERI SEMBILAN,PBR,ACT,
NSB008091,ScalesPatientPlatformMechanical,NSB129,KESIHATAN,SEREMBAN,NEGERI SEMBILAN,PBR,ACT,
NSB002389,ScalesPatientPlatformElectronic,NSB008,KESIHATAN,JEMPOL,NEGERI SEMBILAN,PBR,ACT,
NSB020311,STERILIZING UNITS STEAM TABLETOP,NSB069,KESIHATAN,JEMPOL,NEGERI SEMBILAN,PBR,ACT,
NSB005446,Chairs Examination/Treatment Dentistry,NSB155,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,PBR,ACT,
NSB007247,Fume Extractor,NSB220,PERGIGIAN,PORT DICKSON,NEGERI SEMBILAN,PBR,ACT,
NSB023010,CHAIRS EXAMINATION/TREATMENT DENTISTRY,NSB149,PERGIGIAN,SEREMBAN,NEGERI SEMBILAN,PBR,ACT,
NSB001028,Chairs Examination/Treatment Dentistry,NSB187,PERGIGIAN,KUALA PILAH,NEGERI SEMBILAN,PBR,ACT,
NSB002091,Lights Dental Intraoral,NSB184,PERGIGIAN,KUALA PILAH,NEGERI SEMBILAN,PBR,ACT,
NSB000114,Sphygmomanometers Aneroid,NSB139,KESIHATAN,TAMPIN,NEGERI SEMBILAN,PBR,ACT,
NSB005887,Scales Infant,NSB115,KESIHATAN,REMBAU,NEGERI SEMBILAN,PBR,ACT,
NSB000462,Light Sources,NSB041,KESIHATAN,TAMPIN,NEGERI SEMBILAN,PBR,ACT,
NSB024441,SCANNING SYSTEMS ULTRASONICGENERAL PURPOSE,NSB039,KESIHATAN,TAMPIN,NEGERI SEMBILAN,PBR,ACT,
NSB008650,Refrigerators Laboratory,NSB054,KESIHATAN,JELEBU,NEGERI SEMBILAN,PBR,ACT,
NSB001134,Light Examination,NSB094,KESIHATAN,KUALA PILAH,NEGERI SEMBILAN,PBR,ACT,
NSB000399,Sphygmomanometers Electronic Automatic,NSB039,KESIHATAN,TAMPIN,NEGERI SEMBILAN,PBR,ACT,
NSB003521,Chairs Examination/Treatment Dentistry,NSB242,PERGIGIAN,JELEBU,NEGERI SEMBILAN,PBR,ACT,
PRK002883,Sphygmomanometers Mercury,PRK035,KESIHATAN,KINTA,PERAK,PBR,ACT,
PRK000884,Sphygmomanometers Mercury,PRK030,KESIHATAN,KINTA,PERAK,PBR,ACT,
PRK005650,Sterilizing Units Steam,PRK472,PERGIGIAN,KUALA KANGSAR,PERAK,PBR,ACT,
PRK001413,ASPIRATORS DENTAL,PRK343,PERGIGIAN,KINTA,PERAK,PBR,ACT,
PRK002852,Sphygmomanometers Mercury,PRK035,KESIHATAN,KINTA,PERAK,PBR,ACT,
PRK003303,Hp Maintenance System,PRK339,PERGIGIAN,KINTA,PERAK,PBR,ACT,
PRK002895,Sphygmomanometers Mercury,PRK035,KESIHATAN,KINTA,PERAK,PBR,ACT,
PRK006332,Sterilizing Units Portable,PRK521,PERGIGIAN,LARUT MATANG SELAMA,PERAK,PBR,ACT,
PRK003117,Light Examination,PRK215,KESIHATAN,KINTA,PERAK,PBR,ACT,
PRK008811,Acrylic Curing Units Dental,PRK409,PERGIGIAN,KERIAN,PERAK,PBR,ACT,
