BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status ,New Status 
SBH000042,Aspirators,SBH100,KESIHATAN,Beaufort,Sabah,ACT,DEA
SBH000046,Scales| Infant,SBH100,KESIHATAN,Beaufort,Sabah,ACT,BER
SBH000049,Scales| Infant,SBH100,KESIHATAN,Beaufort,Sabah,ACT,DEA
SBH000060,Scales|Patient|Platform|Mechanical,SBH105,KESIHATAN,Beaufort,Sabah,ACT,DEA
SBH000062,Scales| Infant,SBH105,KESIHATAN,Beaufort,Sabah,ACT,DEA
SBH000067,Scales|Patient|Platform|Electronic,SBH052,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000074,Electrocardiographs| Multichannel,SBH052,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000077,Concentrators| Oxygen,SBH052,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000086,Sphygmomanometers| Mercury,SBH052,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000095,Sphygmomanometers| Aneroid,SBH052,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000099,Concentrators| Oxygen,SBH052,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000113,Sphygmomanometers| Aneroid,SBH052,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000114,Laryngoscopes| Rigid,SBH052,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000696,LIGHT| EXAMINATION,SBH053,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000883,Concentrators| Oxygen,SBH052,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH000954,Sterilizing Units| Steam| Tabletop,SBH257,KESIHATAN,Tambunan,Sabah,ACT,DEA
SBH001022,Scales|Patient|Platform|Electronic,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001036,View Boxes| X-Ray,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001041,Sphygmomanometers| Electronic| Automatic,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001042,Sphygmomanometers| Electronic| Automatic,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001060,Sphygmomanometers| Mercury,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001062,Sphygmomanometers| Aneroid,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001063,Fetal Heart Detectors| Ultrasonic,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001064,Sphygmomanometers| Mercury,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001065,Sphygmomanometers| Mercury,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001066,Scales|Patient|Platform|Mechanical,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001067,Freezers| Laboratory Vaccine,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001069,Fetal Heart Detectors| Ultrasonic,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001070,Light| Examination,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001072,Sterilizing Units| Steam| Tabletop,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001073,Analyzers| Laboratory| Blood| Hemoglobin,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001074,Refrigerators| Pharmacy ,SBH230,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001081,Sphygmomanometers| Mercury,SBH226,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001082,Sphygmomanometers| Mercury,SBH226,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001086,Fetal Heart Detectors| Ultrasonic,SBH226,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001093,Oximeters| Pulse,SBH226,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001095,Oximeters| Pulse,SBH226,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001161,FETAL HEART DETECTORS| ULTRASONIC,SBH227,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001502,Refrigerators| Pharmacy ,SBH252,KESIHATAN,Tambunan,Sabah,ACT,DEA
SBH001688,Sphygmomanometers| Aneroid,SBH056,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001693,Scales|Patient|Platform|Mechanical,SBH056,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001694,Scales| Infant,SBH056,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001700,SCALES|PATIENT|PLATFORM|MECHANICAL,SBH084,KESIHATAN,Tenom,Sabah,ACT,DEA
SBH001701,Refrigerators| Pharmacy ,SBH056,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001705,Sphygmomanometers| Mercury,SBH056,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001710,Fetal Heart Detectors| Ultrasonic,SBH056,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001894,Refrigerators| Pharmacy ,SBH003,KESIHATAN,Beaufort,Sabah,ACT,DEA
SBH001988,Refrigerators| Pharmacy ,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001992,Scales| Infant,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH001993,Scanning Systems| Ultrasonic|General Purpose,SBH054,KESIHATAN,Sandakan,Sabah,ACT,BER
SBH001995,Nebulizers| Nonheated,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH002120,SCALES| INFANT,SBH267,KESIHATAN,Tenom,Sabah,ACT,DEA
SBH002420,REFRIGERATORS,SBH227,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH002436,Analyzers| Laboratory| Blood| Hemoglobin,SBH056,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH002453,FREEZERS| LABORATORY VACCINE,SBH053,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH002518,Scales| Infant,SBH053,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH002519,Sphygmomanometers| Electronic| Automatic,SBH053,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH002530,Light| Examination,SBH053,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH002540,STERILIZING UNITS| STEAM| TABLETOP,SBH226,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH002559,FETAL HEART DETECTORS| ULTRASONIC,SBH226,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH002632,FETAL HEART DETECTORS| ULTRASONIC,SBH233,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH003144,SPHYGMOMANOMETERS| ANEROID,SBH091,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH003484,SPHYGMOMANOMETERS| MERCURY,SBH233,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH003932,VIEW BOXES| X-RAY,SBH129,KESIHATAN,Keningau,Sabah,ACT,DEA
SBH003971,Freezers| Laboratory,SBH253,KESIHATAN,Tambunan,Sabah,ACT,DEA
SBH004039,SCALES|PATIENT|PLATFORM|MECHANICAL,SBH521,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH004130,Sphygmomanometers| Mercury,SBH057,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH005178,LIGHT| EXAMINATION,SBH053,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH005334,REFRIGERATORS| PHARMACY,SBH020,KESIHATAN,Nabawan,Sabah,ACT,DEA
SBH005394,SCALES|PATIENT|PLATFORM|MECHANICAL,SBH084,KESIHATAN,Tenom,Sabah,ACT,DEA
SBH006172,FETAL HEART DETECTORS| ULTRASONIC,SBH055,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006241,Scales|Patient|Platform|Mechanical,SBH101,KESIHATAN,Beaufort,Sabah,ACT,DEA
SBH006242,Scales|Patient|Platform|Mechanical,SBH101,KESIHATAN,Beaufort,Sabah,ACT,DEA
SBH006243,Scales|Patient|Platform|Mechanical,SBH101,KESIHATAN,Beaufort,Sabah,ACT,DEA
SBH006245,Aspirators,SBH101,KESIHATAN,Beaufort,Sabah,ACT,DEA
SBH006268,REFRIGERATORS| PHARMACY,SBH020,KESIHATAN,Nabawan,Sabah,ACT,DEA
SBH006391,Aspirators,SBH225,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006393,Sphygmomanometers| Mercury,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006394,Sphygmomanometers| Aneroid,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006395,Sphygmomanometers| Aneroid,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006396,Sphygmomanometers| Aneroid,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006397,Sphygmomanometers| Aneroid,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006399,Sphygmomanometers| Aneroid,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006400,Sphygmomanometers| Aneroid,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006401,Sphygmomanometers| Aneroid,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006402,Sphygmomanometers| Aneroid,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006403,Sphygmomanometers| Aneroid,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006404,Sphygmomanometers| Mercury,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006407,Freezers| Laboratory Vaccine,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006408,Freezers| Laboratory Vaccine,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006409,Freezers| Laboratory Vaccine,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006410,Scales|Patient|Platform|Mechanical,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006411,Scales|Patient|Platform|Mechanical,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006412,Scales|Patient|Platform|Mechanical,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006413,Scales|Patient|Platform|Mechanical,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006414,Scales|Patient|Platform|Electronic,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006415,Freezers| Laboratory Vaccine,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006416,Sterilizing Units| Steam| Tabletop,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006417,Sterilizing Units| Steam| Tabletop,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006418,Sterilizing Units| Steam| Tabletop,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006419,Sterilizing Units| Steam| Tabletop,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006420,Freezers| Laboratory Vaccine,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006424,Freezers| Laboratory Vaccine,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006425,Freezers| Laboratory Vaccine,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006426,Scales|Patient|Platform|Mechanical,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006427,Scales|Patient|Platform|Mechanical,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006428,Scales|Patient|Platform|Mechanical,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006429,Scales|Patient|Platform|Electronic,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006430,Scales| Infant,SBH228,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006438,REFRIGERATORS| PHARMACY,SBH084,KESIHATAN,Tenom,Sabah,ACT,DEA
SBH006440,Aspirators,SBH265,KESIHATAN,Tenom,Sabah,ACT,DEA
SBH006449,Aspirators,SBH268,KESIHATAN,Tenom,Sabah,ACT,DEA
SBH006452,Aspirators,SBH268,KESIHATAN,Tenom,Sabah,ACT,DEA
SBH006453,Aspirators,SBH268,KESIHATAN,Tenom,Sabah,ACT,DEA
SBH006458,Refrigerators| Pharmacy ,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006468,Scales| Infant,SBH054,KESIHATAN,Sandakan,Sabah,ACT,BER
SBH006485,Tonometers| Ophthalmic,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006495,Laryngoscopes| Rigid,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006497,Laryngoscopes| Rigid,SBH054,KESIHATAN,Sandakan,Sabah,ACT,DEA
SBH006742,REFRIGERATORS| PHARMACY,SBH083,KESIHATAN,Tambunan,Sabah,ACT,DEA
SBH006745,Fetal Heart Detectors| Ultrasonic,SBH091,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH006746,Scales|Patient|Platform|Mechanical,SBH091,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH006751,Sphygmomanometers| Mercury,SBH091,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH006752,Sphygmomanometers| Mercury,SBH091,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
SBH006756,Scales| Infant,SBH091,KESIHATAN,Kinabatangan,Sabah,ACT,DEA
