BE Number,BE Category,Clinic Code,Clinic Category,District,State,Current Status,New Status
SWK023686,DENTAL DELIVERY UNITS,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023685,Dental Delivery Units,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011435,Dental Delivery Units,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK010924,Dental Delivery Units,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011181,Chairs| Examination/Treatment| Dentistry,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011948,Dental Delivery Units,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011997,Dental Delivery Units,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023716,DENTAL DELIVERY UNITS,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011933,Chairs| Examination/Treatment| Dentistry,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011176,Chairs| Examination/Treatment| Dentistry,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023706,DENTAL DELIVERY UNITS,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011294,Amalgamators,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011990,Dental Delivery Units,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011295,Amalgamators,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023689,AMALGAMATORS,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011991,Amalgamators,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011434,Amalgamators,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023708,DENTAL DELIVERY UNITS,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023703,ASPIRATORS| DENTAL,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023660,CHAIRS| EXAMINATION/TREATMENT| DENTISTRY,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023661,CHAIRS| EXAMINATION/TREATMENT| DENTISTRY,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023679,ASPIRATORS| DENTAL,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011293,Amalgamators,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011170,Amalgamators,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK011172,Chairs| Examination/Treatment| Dentistry,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023690,AMALGAMATORS,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK016132,Amalgamators,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023710,AMALGAMATORS,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023655,ASPIRATORS| DENTAL,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK023654,ASPIRATORS| DENTAL,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
SWK013995,Aspirators| Dental,SWK360,PERGIGIAN,MIRI,SARAWAK,ACT,DEA
