 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Delivery Status,
"1","04 02","QMS 04/02/03/07425","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK067","Klinik Kesihatan Kuala Medalam","D A Peg  Kesihatan Bahagian Limbang  Jalan Pandaruan   Limbang  98700 Limbang","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT012","NBE","SARAWAK","LIMBANG","2017-05-23 9:00AM","2017-05-31 9:00AM","KB2QHF2582","Products Installed",
"2","04 02","QMS 04/02/03/07426","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK072","Klinik Kesihatan Kuala Lawas","Klinik Kesihatan Kuala Lawas  Kuala Lawas   98850  Lawas","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT013","NBE","SARAWAK","LIMBANG","2017-05-16 9:00AM","2017-05-31 9:00AM","KB2QHF2581","Products Installed",
"3","04 02","QMS 04/02/03/07427","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK077","Klinik Kesihatan Tang Lapadan","Klinik Kesihatan Tang Lapadan   Lawas   98850 Limbang","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT014","NBE","SARAWAK","LIMBANG","2017-05-17 9:00AM","2017-05-31 9:00AM","KB2QHF2580","Products Installed",
"4","04 02","QMS 04/02/03/07428","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK080","Klinik Kesihatan Bandar Miri","Klinik Kesihatan Bandar Miri   Jalan Merbau  98000  Miri","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT015","NBE","SARAWAK","MIRI","2017-05-15 2:00PM","2017-05-31 2:00PM","KB2QHF2540","Products Installed",
"5","04 02","QMS 04/02/03/07429","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK080","Klinik Kesihatan Bandar Miri","Klinik Kesihatan Bandar Miri   Jalan Merbau  98000  Miri","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT016","NBE","SARAWAK","MIRI","2017-05-15 9:00AM","2017-05-31 9:00AM","KB2QHF2541","Products Installed",
"6","04 02","QMS 04/02/03/07430","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK084","Klinik Kesihatan Suai Tegageng","Klinik Kesihatan Suai Tegageng  Miri    98000  Miri","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT017","NBE","SARAWAK","MIRI","2017-05-16 11:00AM","2017-05-31 11:00AM","KB2QHF2547","Products Installed",
"7","04 02","QMS 04/02/03/07432","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK091","Klinik Kesihatan Long Bedian","Klinik Kesihatan Long Bedian   Baram  98050 Baram","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT019","NBE","SARAWAK","MIRI","2017-05-17 2:00PM","2017-05-31 2:00PM","KB2QHF2551","Products Installed",
"8","04 02","QMS 04/02/03/07433","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK094","Klinik Kesihatan Long Jegan","D A Peg  Kesihatan Daerah  Daerah Baram  Jalan Hospital Marudi 98050 Baram","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT020","NBE","SARAWAK","MIRI","2017-05-18 11:00AM","2017-05-31 11:00AM","KB2Q4F2554","Products Installed",
"9","04 02","QMS 04/02/03/07434","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK098","Klinik Kesihatan Long Loyang","D A Peg  Kesihatan Daerah  Daerah Baram  Jalan Hospital Baram Marudi 98050 Baram","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT021","NBE","SARAWAK","MIRI","2017-05-19 8:00AM","2017-05-31 8:00AM","KB2QHF2555","Products Installed",
"10","04 02","QMS 04/02/03/07435","SUP017","MAYMEDIC TECHNOLOGY SDN BHD  ","amir@maymedic.com.my","NO.19-1, 19-2, 19-3, JALAN 5/152, 
BATU 6, JALAN PUCHONG,
TAMAN PERINDUSTRIAN OUG,
58200 KUALA LUMPUR.","Mohamad Amir Mohamad Said","Sterilizing Units, Steam, Table Top","NEWMED SRL","Kronos B23 NEWMED","Sterilizing Units, Steam, Table Top","SWK099","Klinik Kesihatan Long Miri","D A Peg  Kesihatan Daerah  Daerah Baram  Jalan Hospital Baram Marudi 98050 Baram","KK","Batch 3","East Malaysia","PO106711","2016-09-01","SWNSTT022","NBE","SARAWAK","MIRI","2017-05-19 11:00AM","2017-05-31 11:00AM","KB2QHF2572","Products Installed",
