 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Delivery Status,
"1","01 05","QMS 01/05/04/014639","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK138","Klinik Kesihatan Samera","Klinik Kesihatan Samera  94600  Asajaya","KK","Batch 4","East Malaysia","PO108520","2017-02-01","SWPANB117","PBE","SARAWAK","SAMARAHAN","2017-08-30 10:00AM","2017-08-30 10:00AM","3008-14-3350","Products Installed",
"2","02 13","QMS 02/13/04/017264","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR023","Klinik Kesihatan Gelang Patah","Jalan Besar  Gelang Patah Johor  Bahru  81550","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE019","PBE","JOHOR","JOHOR BAHRU","2017-08-30 9:00AM","2017-08-30 9:00AM","2017060708048","Products Installed",
"3","02 13","QMS 02/13/04/017269","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR024","Klinik Kesihatan Majidee","Jalan Tebrau  Johor   Bahru Johor  Bahru  81100","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE020","PBE","JOHOR","JOHOR BAHRU","2017-08-30 9:00AM","2017-08-30 9:00AM","2017060708047","Products Installed",
"4","02 13","QMS 02/13/04/017322","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR074","Klinik Kesihatan Penerok","Jln  Kukup  82300 Pontian","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE055","PBE","JOHOR","PONTIAN","2017-08-30 9:00AM","2017-08-30 9:00AM","2017060708050","Products Installed",
"5","02 13","QMS 02/13/04/017323","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR077","Klinik Kesihatan Serkat","Jln  Serkat Pontian 82030  Pontian","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE057","PBE","JOHOR","PONTIAN","2017-08-30 9:00AM","2017-08-30 9:00AM","2017060708049","Products Installed",
"6","01 05","QMS 01/05/04/014637","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK150","Klinik Kesihatan Munggu Lallang","Klinik Kesihatan Munggu Lallang  94300  Kota Samarahan","KK","Batch 4","East Malaysia","PO108520","2017-02-01","SWPANB059","PBE","SARAWAK","SAMARAHAN","2017-08-29 10:00AM","2017-08-29 10:00AM","3008-14-3354","Products Installed",
"7","01 05","QMS 01/05/04/014638","SUP008","EDARAN MEDICALTECH M SDN BHD","info@edaranmedicaltech.com","No.19, JALAN PUSAT BCH 1/2, BANDAR COUNTRY HOME, 48000 RAWANG, SELANGOR.","ABD KHALIL ANWAR","Analyzers, Laboratory, Blood, Hemoglobin","Stanbio Laboratory","H2","Analyzers, Laboratory, Blood, Hemoglobin","SWK150","Klinik Kesihatan Munggu Lallang","Klinik Kesihatan Munggu Lallang  94300  Kota Samarahan","KK","Batch 4","East Malaysia","PO108520","2017-02-01","SWPANB060","PBE","SARAWAK","SAMARAHAN","2017-08-29 10:00AM","2017-08-29 10:00AM","3008-14-3352","Products Installed",
"8","02 13","QMS 02/13/04/017254","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR008","Klinik Kesihatan Rengit","JKR 758  Jalan Besar Rengit  83100 Batu Pahat  Johor","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE007","PBE","JOHOR","BATU PAHAT","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708138","Products Installed",
"9","02 13","QMS 02/13/04/017265","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR028","Klinik Kesihatan Jalan Mahmoodiah","Jalan Mahmoodiah  80100 Johor Bahru","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE024","PBE","JOHOR","JOHOR BAHRU","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708042","Products Installed",
"10","02 13","QMS 02/13/04/017266","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR028","Klinik Kesihatan Jalan Mahmoodiah","Jalan Mahmoodiah  80100 Johor Bahru","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE025","PBE","JOHOR","JOHOR BAHRU","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060508041","Products Installed",
"11","02 13","QMS 02/13/04/017271","SUP037","Pusat Anggota Tiruan Central Sdn Bhd","info@artaniaga.com.my","No 13-1, Jalan Bachang, Off Jalan Ipoh, Kuala Lumpur","Puveendra Thuraisingam","Charts, Eye, Visual, Acuity","INMOCLINC, S.A.","16500","Charts, Eye, Visual, Acuity","JHR591","Klinik Kesihatan Sultan Ismail","81100 Johor Bahru","KK","Batch 4","SOUTHERN","TPO0213","2017-06-01","JHPCHE069","PBE","JOHOR","JOHOR BAHRU","2017-08-29 9:00AM","2017-08-29 9:00AM","2017060708046","Products Installed",
