 
 
 					 


S/No,Package ID,DRN No.,Supplier ID,Supplier Name,Supplier Email ID,Supplier Address,Supplier Contact Person,Product Name,Product Manufacturer,Product Model,Product Details,Clinic ID,Clinic Name,Clinic Address,Clinic Type,Batch,Supplier Zone,PO No.,PO Date,BE No,BE Type,State,District,Delivery date and time,T&C Date and Time,Serial No.,Actual T&C Date,Delivery Status,
"1","01 01","QMS 01/01/06/023204","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR017","Klinik Kesihatan Kulai Besar","Batu 19  Jalan Air Hitam  81000 Kulai Jaya  Johor","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP002","PBE","JOHOR","KULAI JAYA","2018-02-27 2:00PM","2018-02-27 2:00PM","018675","22-03-2018","Products Installed",
"2","01 01","QMS 01/01/06/023205","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR043","Klinik Kesihatan Sedili Besar","Jln Hj Md Lazim Kota Tinggi 81900","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP003","PBE","JOHOR","KOTA TINGGI","2018-02-22 2:00PM","2018-02-22 2:00PM","018685","22-03-2018","Products Installed",
"3","01 01","QMS 01/01/06/023206","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR073","Klinik Kesihatan Pekan Nanas","Jln  Pekan Nanas  81500 Pontian","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP004","PBE","JOHOR","PONTIAN","2018-02-26 10:00AM","2018-02-26 10:00AM","018670","22-03-2018","Products Installed",
"4","01 01","QMS 01/01/06/023207","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR075","Klinik Kesihatan Pontian","Jln  Alsagoff 82000 Pontian","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP005","PBE","JOHOR","PONTIAN","2018-02-26 10:00AM","2018-02-26 10:00AM","018661","22-03-2018","Products Installed",
"5","01 01","QMS 01/01/06/023208","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR079","Klinik Kesihatan Bandar Putra","Jalan Genuang  Bandar Putra 85000 Segamat","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP006","PBE","JOHOR","SEGAMAT","2018-02-25 10:00AM","2018-02-25 10:00AM","18665","22-03-2018","Products Installed",
"6","01 01","QMS 01/01/06/023209","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR090","Klinik Kesihatan Ibu dan Anak Kluang","86100  Kluang","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP007","PBE","JOHOR","KLUANG","2018-02-20 2:00PM","2018-02-20 2:00PM","016876","22-03-2018","Products Installed",
"7","01 01","QMS 01/01/06/023210","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR583","Klinik 1 Malaysia Nusa Bestari","No 5 Jalan Bestari 5 1 Taman Nusa Bestari Johor Bahru","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP008","PBE","JOHOR","JOHOR BAHRU","2018-02-21 10:00AM","2018-02-21 10:00AM","018672","22-03-2018","Products Installed",
"8","01 01","QMS 01/01/06/023211","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR584","Klinik 1 Malaysia Seri Setulang","Blk G Rumah Pangsa Sri Setulang 1  Bakar Batu  Johor Bahru","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP009","PBE","JOHOR","JOHOR BAHRU","2018-02-21 2:00PM","2018-02-21 2:00PM","018696","22-03-2018","Products Installed",
"9","01 01","QMS 01/01/06/023212","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR585","Klinik 1 Malaysia Taman Cendana","Jalan Cendana 13  Taman Cendana  Pasir Gudang  Johore81700  Malaysia","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP010","PBE","JOHOR","JOHOR BAHRU","2018-02-22 10:00AM","2018-02-22 10:00AM","018671","22-03-2018","Products Installed",
"10","01 01","QMS 01/01/06/023213","SUP031","TEE PHAM SDN BHD","kala@teephamedical.com.my","No. 440 B, Jalan Talang, Taman Perai,
13600 Perai Pulau Pinang, 
Malaysia.","Kala","Aspirators","CA-MI S.r.l.","HOSPIVAC 350FS","Aspirators","JHR587","Klinik 1 Malaysia Taman Manis","No  392   Jalan Manis 17  Kelapa Sawit  81030 Kulai Jaya   Johor","KK","Batch 6","SOUTHERN","PO106715","2016-09-01","JHPASP011","PBE","JOHOR","KULAI JAYA","2018-02-27 10:00AM","2018-02-27 10:00AM","018698","22-03-2018","Products Installed",
